,budget_fiscal_year,department_name,fund_name,account_name,total_expenditures,total_budget,account_group_name,department
17,2021,AGING,AREA PLAN FOR THE AGING TIT 7,AGING,,2319968,,2
18,2021,AGING,OTHER PROGRAMS FOR THE AGING,AGING,,317458,,2
19,2021,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS III  C1,1574314.5,4527034,,2
20,2021,AGING,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,37616.78,140686.08,EXPENSES,2
21,2021,AGING,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,1971400.74,4087954.43,SALARIES AND BENEFITS,2
22,2021,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 12 MONTH,174751,389145,,2
23,2021,AGING,FUND FOR SENIOR SERVICES,AGING,,60000,,2
24,2021,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREVENTION,17010,48302,,2
25,2021,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP HOME DELIVERED MEALS III C2,133393,516831,,2
26,2021,AGING,AREA PLAN FOR THE AGING TIT 7,PREVENTIVE HEALTH III D,,257008,,2
27,2021,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREV PROGR FOR SENIORS,,3017,,2
28,2021,AGING,SENIOR CITYRIDE PROGRAM FUND,CITYRIDE PROGRAM,981388,3708000,,2
29,2021,AGING,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,24763305.45,40890765,EXPENSES,2
30,2021,AGING,TITLE VII OLDER AMERICANS ACT,OMBUDSMAN VII A PROGRAM,46485,91171,,2
31,2021,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP CONGREGATE MEALS III C1,145988,456242,,2
32,2021,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 9 MONTH,82838,126770,,2
33,2021,AGING,HEALTH INS COUNS ADV (HICAP),AGING,,33840,,2
34,2021,AIRPORTS,PASSENGER FACILITY CHARGE -ONT,OTHER EXPENDITURES,,0,,4
35,2021,AIRPORTS,PASSENGER FACILITY CHARGE -LAX,SALARIES GENERAL,,0,,4
36,2021,AIRPORTS,AIRPORT REVENUE,TRANSPORTATION,48889.91,0,,4
37,2021,AIRPORTS,AIRPORT REVENUE,SALARIES GENERAL,183829748.23,0,,4
38,2021,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,OTHER EXPENDITURES,,0,,4
39,2021,AIRPORTS,AIRPORT REVENUE,OTHER EXPENDITURES,1118883572.89,0,,4
40,2021,AIRPORTS,AIRPORT REVENUE,HIRING HALL-SALARIES,1167043.68,0,,4
41,2021,AIRPORTS,PASSENGER FACILITY CHARGE -LAX,OTHER EXPENDITURES,47620831,0,,4
42,2021,AIRPORTS,AIRPORT REVENUE,OVERTIME GENERAL,6101059.89,0,,4
43,2021,AIRPORTS,AIRPORT REVENUE,OFFICE & ADM,138685.99,0,,4
44,2021,AIRPORTS,AIRPORT REVENUE,HIRING HALL-BENEFITS,,0,,4
45,2021,AIRPORTS,AIRPORT INSURANCE TRUST FD ONT,OTHER EXPENDITURES,,0,,4
46,2021,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,SALARIES GENERAL,,0,,4
47,2021,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,OVERTIME GENERAL,,0,,4
48,2021,AIRPORTS,DEA FEDERAL FORFEIT PROP-LAWA/,OTHER EXPENDITURES,,0,,4
49,2021,AIRPORTS,AIRPORT REVENUE,HIRING HALL-OVERTIME,6711.63,0,,4
50,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),MEDICAL SUPPLIES,61720.49,488591,EXPENSES,6
51,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,312756.58,359388,EXPENSES,6
52,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-VOLUNTEER PROGRAM,,10,,6
53,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,PETCO FOUNDATION,38773.37,85000,,6
54,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),UNIFORMS,,30750,EXPENSES,6
55,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,51529.28,270746,EXPENSES,6
56,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,EAST VALLEY SHELTER,,6201.22,,6
57,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,SOUTH LA SHELTER,,5634.5,,6
58,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,110373.93,120000,SALARIES AND BENEFITS,6
59,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,121585.22,300376,SALARIES AND BENEFITS,6
60,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,18189.8,22500,EXPENSES,6
61,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,WEST LA SHELTER,,785.5,,6
62,2021,ANIMAL SERVICES,ANIMAL STERILIZATION,SPAY & NEUTER PROGRAM,135319,664031.03,,6
63,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-STAR PROGRAM,,23044.25,,6
64,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),PRIVATE VETERINARY CARE EXPENSE,24138.11,47500,EXPENSES,6
65,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,AVAILABLE,1092.15,400423.32,,6
66,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,44948.83,241987,EXPENSES,6
67,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),FEED AND GRAIN,70509.84,400000,EXPENSES,6
68,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,NO. CENTRAL SHERLTER,,253,,6
69,2021,ANIMAL SERVICES,ANIMAL STERILIZATION,REIMBURSEMENT OF GENERAL FUND COSTS,55082.8,55082.8,SPECIAL,6
70,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,HARBOR SHELTER,,4191.75,,6
71,2021,ANIMAL SERVICES,ANIMAL STERILIZATION,ANIMAL SERVICES,,0,,6
72,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,GENERAL SERVICES,70405.57,70405.57,,6
73,2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,INFORMATION TECHNOLOGY AGENCY,6480,6480,,6
74,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,51719.99,74000,EXPENSES,6
75,2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,10639056.05,20853304,SALARIES AND BENEFITS,6
76,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,82479.96,225779,EXPENSES,8
77,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CONTROLLER,30245.68,106626,,8
78,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,46049796.38,112042179,SALARIES AND BENEFITS,8
79,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,44848.05,132175,EXPENSES,8
80,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CITY PLANNING,113437.67,1361252,,8
81,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,SPECIAL SERVICES COSTS,,200000,SPECIAL,8
82,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUILDING AND SAFETY,58964845.98,117929692,,8
83,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,516073.56,1652932,SALARIES AND BENEFITS,8
84,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,4879079.1,14595000,SALARIES AND BENEFITS,8
85,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,INFORMATION TECHNOLOGY AGENCY,239668,1701732,,8
86,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUILDING AND SAFETY TRAINING,54247.5,278000,SPECIAL,8
87,2021,BUILDING AND SAFETY,REPAIR & DEMOLITION,BUILDING AND SAFETY,,0,,8
88,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,895858.84,2078209,EXPENSES,8
89,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,7167.91,56176,EXPENSES,8
90,2021,BUILDING AND SAFETY,DEVELOPMENT SERVICES TRUST FUND,FIRE,,266926.57,,8
91,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CAPITAL FINANCE ADMINISTRATION,2058367.02,4116734,,8
92,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BANK FEES,,100000,SPECIAL,8
93,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUREAU OF ENGINEERING,10000.02,20000,,8
94,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,PERSONNEL,285455.48,1231151,,8
95,2021,BUILDING AND SAFETY,CERTIFIED ACCESS SPECIALIST CERTIFICATION AND TRAINING FUND,DISABILITY,391843,391843,,8
96,2021,BUILDING AND SAFETY,LOCAL ENFORCE AGENCY LANDFILL,ENFORCEMENT ASSISTANCE GRANTS,4031.25,5867.3,,8
97,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CAPITAL IMPROVEMENT EXPENSE PROGRAM,797281.91,797281.91,,8
98,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUILDING AND SAFETY LEASE COSTS,260234.44,534000,SPECIAL,8
99,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,REIMBURSEMENT OF GENERAL FUND COSTS,41078597.84,65923504,SPECIAL,8
100,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,GENERAL SERVICES,1660491.63,2811479.65,,8
101,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CITY ATTORNEY,20000,347599,,8
102,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUILDING AND SAFETY CONTRACTUAL SERVICES,1576369.79,17112000,SPECIAL,8
103,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,ALTERATIONS AND IMPROVEMENTS,,5000000,SPECIAL,8
104,2021,BUILDING AND SAFETY,REPAIR & DEMOLITION,REIMBURSEMENT OF GENERAL FUND COSTS,,0,SPECIAL,8
105,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),UNIFORMS,,1500,EXPENSES,8
106,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CITY ADMINISTRATIVE OFFICER,103093.02,206186,,8
107,2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,1287.58,23306,EXPENSES,8
108,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,BUILDING AND SAFETY EXPENSE AND EQUIPMENT,403939.32,3753359,SPECIAL,8
109,2021,BUILDING AND SAFETY,REPAIR & DEMOLITION,EXPENDITURE,35246.28,67544.32,,8
110,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,RESERVE FOR FUTURE COSTS,,254746266,SPECIAL,8
111,2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,SYSTEMS DEVELOPMENT PROJECT COSTS,609051.71,7561000,SPECIAL,8
112,2021,BUILDING AND SAFETY,OFF-SITE SIGN PERIOD INSP FEE,REIMBURSEMENT OF GENERAL FUND COSTS,,338078,SPECIAL,8
113,2021,BUILDING AND SAFETY,OFF-SITE SIGN PERIOD INSP FEE,BUILDING AND SAFETY,,557600,,8
114,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,CAPITAL FINANCE ADMINISTRATION,91186,182372,,13
115,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,188277.02,1179045.44,EXPENSES,13
116,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,5571.91,30000,EXPENSES,13
117,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,450,50000,SALARIES AND BENEFITS,13
118,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,LOCAL EQUITY GRANT FUNDING,,7876170.61,SPECIAL,13
119,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,,1000,EXPENSES,13
120,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,REIMBURSEMENT OF GENERAL FUND COSTS,181050.3,11583645,SPECIAL,13
121,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,41966.57,100000,SALARIES AND BENEFITS,13
122,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,1156377.25,3089561,SALARIES AND BENEFITS,13
123,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,CITY CLERK,28558.5,57117,,13
124,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,CANNABIS REGULATION,2254346.5,4474606.44,,13
125,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,FINANCE,591983.5,898951,,13
126,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,,20000,EXPENSES,13
127,2021,CANNABIS REGULATION,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,,5000,EXPENSES,13
128,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,CITY ATTORNEY,422652.98,560832,,13
129,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,PERSONNEL,261345.5,349591,,13
130,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,INFORMATION TECHNOLOGY AGENCY,32086.56,32086.56,,13
131,2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,GENERAL SERVICES,53936.5,105873,,13
132,2021,CITY ADMINISTRATIVE OFFICER,METROPOLIS HOTEL PROJECT TRUST FUND,HOTEL DEVELOPMENT INCENTIVE PAYMENT,,3360000,,10
133,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: BALBOA SPORTS COMPLEX (R2),,525000,SPECIAL,10
134,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,DISABILITY,800000,800000,,10
135,2021,CITY ADMINISTRATIVE OFFICER,HHAP,11471 CHANDLER BOULEVARD,,1309719,,10
136,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: LAZY J PARK (S20),,25000,SPECIAL,10
137,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: BOYLE HEIGHTS SPORTS CENTER (R4),,250000,SPECIAL,10
138,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,INFLATION,,3982686,SPECIAL,10
139,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ-RAP: EL SERENO ARROYO PLAYGROUND ACQUISITION (C250-9),,512550,SPECIAL,10
140,2021,CITY ADMINISTRATIVE OFFICER,CA COVID-19 EMERGENCY FUND,GENERAL SERVICES,5669532.05,5669532.05,,10
141,2021,CITY ADMINISTRATIVE OFFICER,HHAP,12600 SATICOY,,7914796,,10
142,2021,CITY ADMINISTRATIVE OFFICER,HHAP,BOARD OF PUBLIC WORKS,4954217,4954217,,10
143,2021,CITY ADMINISTRATIVE OFFICER,GREATER LOS ANGELES VISITORS,CITY ADMINISTRATIVE OFFICER,25000.02,50000,,10
144,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,DOT CRF PROJECTS,,0,,10
145,2021,CITY ADMINISTRATIVE OFFICER,901 OLYMPIC NORTH HOTEL TRUST FUND,HOTEL DEVELOPMENT INCENTIVE PAYMENT,326042.92,3860000,,10
146,2021,CITY ADMINISTRATIVE OFFICER,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,2500,6000,EXPENSES,10
147,2021,CITY ADMINISTRATIVE OFFICER,HHAP,6099 LAUREL CANYON,,6181215,,10
148,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: SOUTHERN PACIFIC TRAILS (R35),,1500000,SPECIAL,10
149,2021,CITY ADMINISTRATIVE OFFICER,HHAP,1221 S. FIGUEROA PLACE,,3378975,,10
150,2021,CITY ADMINISTRATIVE OFFICER,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,32093.74,75000,SALARIES AND BENEFITS,10
151,2021,CITY ADMINISTRATIVE OFFICER,STAPLES CENTER TRUST FUND,CAPITAL FINANCE ADMINISTRATION,1729465.02,3458930,,10
152,2021,CITY ADMINISTRATIVE OFFICER,PERSHING SQUARE SPECIAL TRUST,CAPITAL FINANCE ADMINISTRATION,261750,523500,,10
153,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,HCID GENERAL FUND PROGRAM,2118576,2118576,,10
154,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: OAKWOOD JR. ARTS CTR (S99),,75000,SPECIAL,10
155,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ-RAP: EAST PARK - SPORTS FIELD LIGHTING (C249-9),,200000,SPECIAL,10
156,2021,CITY ADMINISTRATIVE OFFICER,ATTORNEY CONFLICTS PANEL SP FD,ATTORNEY CONFLICTS PANEL,1007880.56,4257153.15,,10
157,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,COVID-19 STREET VENDING RECOVERY FUND,2072278,2072278,,10
158,2021,CITY ADMINISTRATIVE OFFICER,DISASTER ASSISTANCE TRUST FUND,RESERVE FOR PENDING REIMBURSEMENTS,,22375965,SPECIAL,10
159,2021,CITY ADMINISTRATIVE OFFICER,HOMELESS EMERGENCY AID PROGRAM GRANT FUND,BOARD OF PUBLIC WORKS,1896905.86,1896905.86,,10
160,2021,CITY ADMINISTRATIVE OFFICER,HHAP,CITY ADMINISTRATIVE OFFICER,154073,154073,,10
161,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,ECONOMIC DEVELOPMENT TRUST FUND,11042000,11042000,,10
162,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: CASTLE PEAK PARK (S18),,25000,SPECIAL,10
163,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,6073 N RESEDA BLVD,318305.11,3306135.79,,10
164,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K ADMINISTRATION F,PW BUREAU OF ENGINEERING (BOE),,214290,SPECIAL,10
165,2021,CITY ADMINISTRATIVE OFFICER,INNOVATION FUND,SEWER OPERATIONS & MAINTENANCE FUND,90000,90000,,10
166,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: ARDMORE RECREATION CENTER (S87),,237563,SPECIAL,10
167,2021,CITY ADMINISTRATIVE OFFICER,DISASTER ASSISTANCE TRUST FUND,CITY ADMINISTRATIVE OFFICER,116293.5,232587,,10
168,2021,CITY ADMINISTRATIVE OFFICER,HHAP,6700 VANALDEN AVE,,1676419,,10
169,2021,CITY ADMINISTRATIVE OFFICER,HHAP,BUREAU OF ENGINEERING,1203819.12,1203819.12,,10
170,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,WINTER SHELTER PROGRAM,,0,,10
171,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: LOS ANGELES RIVERFRONT PARK (R18),,200000,SPECIAL,10
172,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ-RAP: WATTS CULTURAL CRESCENT (C241-8),,100000,SPECIAL,10
173,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: POINSETTIA RECREATION CENTER (S45),,20000,SPECIAL,10
174,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,SENIOR MEALS EMERGENCY RESPONSE PROGRAM,,0,,10
175,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,CIEP/HOMELESSNESS ROADMAP/CAPITAL,594281.58,8051076.29,,10
176,2021,CITY ADMINISTRATIVE OFFICER,HOMELESS EMERGENCY AID PROGRAM GRANT FUND,MAYOR,154635.34,154635.34,,10
177,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,CARES ACT PROJECTS FUND,56804579,56804579,,10
178,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,BUREAU OF ENGINEERING,,2500000,,10
179,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,6099 LAUREL CANYON,53860.18,8165305.52,,10
180,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: ROGER JESSUP REC CTR (S60),,318631,SPECIAL,10
181,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: TRINITY RECREATION CENTER (S86),,25000,SPECIAL,10
182,2021,CITY ADMINISTRATIVE OFFICER,HHAP,GENERAL SERVICES,12868073.45,12868073.45,,10
183,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,1221 S. FIGUEROA PLACE,314139.14,5110916.84,,10
184,2021,CITY ADMINISTRATIVE OFFICER,HHAP,6073 N RESEDA BLVD,,1132050,,10
185,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,INFORMATION TECHNOLOGY AGENCY,,50000,,10
186,2021,CITY ADMINISTRATIVE OFFICER,WILSHIRE GRAND HOTEL PROJECT TRUST FUND,HOTEL DEVELOPMENT INCENTIVE PAYMENT,177548.14,9100000,,10
187,2021,CITY ADMINISTRATIVE OFFICER,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,30.71,31561,SALARIES AND BENEFITS,10
188,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,DWP/POWER,50000000,50000000,,10
189,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,1455 ALVARADO ST,,440000,,10
190,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: SOUTHEAST VALLEY ROLLER & SKATEBOARD RINK (R27),,633336,SPECIAL,10
191,2021,CITY ADMINISTRATIVE OFFICER,DISASTER ASSISTANCE TRUST FUND,STATE DISASTER ASSISTANCE,,460460,SPECIAL,10
192,2021,CITY ADMINISTRATIVE OFFICER,STAPLES CENTER TRUST FUND,UNALLOCATED,,6086974,SPECIAL,10
193,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,MEASURE M LOCAL RETURN SPECIAL FUND,1684290.2,1684290.2,,10
194,2021,CITY ADMINISTRATIVE OFFICER,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",GENERAL SERVICES,,1551301.03,,10
195,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K MAINTENANCE FUND,MAINTENANCE,,6589370,SPECIAL,10
196,2021,CITY ADMINISTRATIVE OFFICER,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,255390.55,1733687,EXPENSES,10
197,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: STETSON RANCH (S63),,25000,SPECIAL,10
198,2021,CITY ADMINISTRATIVE OFFICER,HHAP,CITY ATTORNEY,97463,97463,,10
199,2021,CITY ADMINISTRATIVE OFFICER,VILLAGE AT WESTFIELD TOPANGA TRUST FUND,SUBVENTION PAYMENT,,1180000,,10
200,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,REIMBURSEMENT OF CITY EXPENDITURES,145731123.02,145731123.02,,10
201,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: HIGHLAND PARK JR. ARTS CENTER (S133),,250000,SPECIAL,10
202,2021,CITY ADMINISTRATIVE OFFICER,COVID-19 FEDERAL RELIEF FUND,MATCHING FUNDS FOR HOMEKEY PROGRAM APPLICATIONS,118070812.44,133527148,,10
203,2021,CITY ADMINISTRATIVE OFFICER,TX REV ANTICIP NOTE PROC,LACERS CONTRIBUTIONS,532833462,543298868,,10
204,2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K ADMINISTRATION F,CITY ADMINISTRATIVE OFFICER (CAO),,78000,SPECIAL,10
