state_name,state_abbrev,fips_code,is_octave_state,population_18_plus,ami_prevalence_pct,ami_population,smi_prevalence_pct,smi_population,mde_prevalence_pct,mde_population,sud_prevalence_pct,sud_population,received_treatment_coverage_pct,treatment_gap_pct,treatment_gap_population,mha_rank,mha_burden_percentile,providers_per_100k,ami_per_100k,demand_supply_ratio
Ohio,OH,39,True,9215314,22.1,2036584,5.5,506842,9.3,857024,5.7,525272,41.9,58.1,1183255,23,52,166.8,22100.0,132.49
Oklahoma,OK,40,False,3088080,23.2,716434,5.7,176020,9.8,302631,6.1,188372,38.2,61.8,442756,43,92,177.6,23200.0,130.63
Oregon,OR,41,True,3403557,21.5,731764,5.3,180388,9.0,306320,5.8,197406,42.5,57.5,420764,18,42,235.8,21500.0,91.18
Pennsylvania,PA,42,True,10337054,20.9,2160444,5.0,516852,8.7,899323,4.8,496178,44.8,55.2,1192565,11,28,176.5,20900.0,118.41
Rhode Island,RI,44,False,892705,20.4,182111,4.8,42849,8.4,74987,4.7,41957,46.2,53.8,97975,15,36,282.5,20400.0,72.21
South Carolina,SC,45,True,4231317,21.6,913964,5.3,224259,9.1,385049,5.4,228491,42.7,57.3,523701,28,62,214.2,21600.0,100.84
South Dakota,SD,46,False,700511,21.0,147107,5.1,35726,8.8,61644,5.2,36426,43.6,56.4,82968,35,76,249.5,21000.0,84.17
Tennessee,TN,47,True,5563129,22.3,1240577,5.6,311535,9.5,528497,5.6,311535,40.1,59.9,743105,22,50,203.6,22300.0,109.53
Texas,TX,48,True,22963044,20.7,4753350,5.0,1148152,8.6,1974821,5.1,1171115,44.3,55.7,2647615,21,48,155.5,20700.0,133.12
Utah,UT,49,False,2483829,19.9,494281,4.6,114256,8.1,201190,4.5,111772,45.9,54.1,267406,51,50,202.0,19900.0,98.51
Vermont,VT,50,False,532638,20.6,109723,4.9,26099,8.5,45274,5.3,28229,45.1,54.9,60237,26,58,374.1,20600.0,55.07
Virginia,VA,51,True,6843521,20.5,1402921,4.8,328489,8.5,581699,4.9,335332,46.3,53.7,753368,7,20,184.2,20500.0,111.29
Washington,WA,53,True,6165688,20.8,1282463,5.0,308284,8.7,536414,5.4,332947,45.7,54.3,696377,16,38,168.5,20800.0,123.44
West Virginia,WV,54,False,1418429,24.1,341841,6.3,89361,10.5,148935,7.2,102126,36.4,63.6,217410,49,104,254.2,24100.0,94.81
Wisconsin,WI,55,True,4666877,21.0,980044,5.0,233343,8.8,410685,5.1,238010,44.5,55.5,543924,17,40,182.7,21000.0,114.94
Wyoming,WY,56,False,454092,22.0,99900,5.4,24520,9.2,41776,5.9,26791,40.2,59.8,59740,39,84,272.4,22000.0,80.76
