2026 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,56%,68%,Plan too small to be measured ,Not enough data available ,Not enough data available ,43%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,69%,77%,43%,68%,Not enough data available ,Not enough data available ,66%,No data available ,No data available ,56%,56%,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,23%,Not enough data available ,Not enough data available ,Not enough data available ,100%,100%,Not enough data available ,23%,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,100,86%,85%,82%,85%,91%
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,79%,81%,71%,75%,89%,51%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,54%,87%,90%,69%,81%,48%,44%,93%,11%,92%,85%,68%,86,87,91,89,86,89,0.08,22%,Medicare shows only a Star Rating for this topic ,98%,100%,100%,100%,0.08,22%,Medicare shows only a Star Rating for this topic ,87,90,84,86%,90%,90%,83%,93%
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",80%,74%,70%,69%,85%,50%,80%,98%,99%,39%,84%,89%,66%,80%,50%,45%,66%,10%,87%,53%,60%,81,83,Not enough data available ,85,84,86,0.22,15%,Medicare shows only a Star Rating for this topic ,100%,99%,100%,100%,0.22,15%,Medicare shows only a Star Rating for this topic ,85,88,100,87%,91%,90%,90%,87%
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona (AZ Blue) ,Blue Cross Blue Shield of Arizona ,75%,81%,68%,69%,85%,48%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,58%,73%,89%,75%,87%,56%,45%,93%,9%,88%,91%,73%,82,81,92,87,89,86,0.04,5%,Medicare shows only a Star Rating for this topic ,98%,98%,100%,98%,0.04,5%,Medicare shows only a Star Rating for this topic ,89,92,99,89%,92%,91%,96%,93%
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70%,70%,64%,71%,82%,55%,74%,94%,99%,45%,84%,87%,62%,78%,63%,45%,63%,12%,84%,43%,65%,81,Not enough data available ,Not enough data available ,87,90,Not enough data available ,0.14,10%,Medicare shows only a Star Rating for this topic ,98%,99%,100%,100%,0.14,10%,Medicare shows only a Star Rating for this topic ,88,Not enough data available ,100,85%,85%,83%,91%,87%
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"UnitedHealth Group, Inc. ",78%,72%,74%,73%,81%,55%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,77%,86%,93%,83%,91%,54%,45%,90%,11%,88%,80%,59%,77,76,93,89,91,87,0.1,5%,Medicare shows only a Star Rating for this topic ,100%,100%,97%,97%,0.1,5%,Medicare shows only a Star Rating for this topic ,90,91,99,87%,90%,88%,93%,89%
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",83%,78%,77%,Plan too small to be measured ,Plan too small to be measured ,55%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,75%,94%,55%,86%,50%,Not enough data available ,81%,No data available ,81%,71%,79%,81,82,92,87,87,86,0.21,13%,Not enough data available ,100%,100%,97%,98%,0.21,13%,Medicare shows only a Star Rating for this topic ,86,90,99,86%,92%,90%,91%,86%
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Wellcare By Allwell ,Centene Corporation ,72%,70%,58%,69%,Not enough data available ,48%,83%,98%,96%,60%,80%,89%,67%,77%,62%,47%,79%,11%,83%,54%,59%,80,84,90,86,84,85,0.34,22%,Medicare shows only a Star Rating for this topic ,100%,97%,100%,100%,0.34,22%,Medicare shows only a Star Rating for this topic ,85,89,100,89%,92%,92%,91%,86%
H0354 ,Local CCP ,"BRAVO HEALTH PENNSYLVANIA, INC. ",Cigna HealthCare ,Health Care Service Corporation ,78%,72%,68%,75%,84%,51%,59%,99%,98%,54%,84%,87%,78%,81%,59%,40%,91%,10%,86%,80%,67%,80,84,90,84,86,84,0.29,10%,Medicare shows only a Star Rating for this topic ,100%,99%,98%,100%,0.29,10%,Medicare shows only a Star Rating for this topic ,88,89,99,86%,90%,89%,96%,91%
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Plan too small to be measured ,CMS identified issues with this plan's data ,100%,100%,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,97%,97%,Not enough data available ,Not enough data available ,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,89%,96%,96%,97%,100%
H0413 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF DELAWARE ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0421 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Plan too new to be measured ,Not enough data available ,Not enough data available ,100%,100%,Plan too new to be measured ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0423 ,Local CCP ,"METROPLUS HEALTH PLAN, INC. ",MetroPlus Health Plan ,New York City Health and Hospitals Corporation ,79%,74%,66%,70%,86%,66%,74%,96%,97%,Not enough data available ,84%,88%,61%,89%,76%,Not enough data available ,97%,13%,89%,93%,61%,80,84,88,85,89,86,0.17,14%,Medicare shows only a Star Rating for this topic ,98%,91%,59%,59%,0.17,14%,Medicare shows only a Star Rating for this topic ,87,88,98,91%,91%,89%,98%,93%
H0432 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",75%,75%,56%,Not enough data available ,Not enough data available ,47%,79%,98%,99%,39%,89%,89%,63%,75%,63%,40%,68%,10%,85%,52%,52%,86,87,91,87,88,87,0.19,34%,Medicare shows only a Star Rating for this topic ,100%,99%,100%,100%,0.19,34%,Medicare shows only a Star Rating for this topic ,88,90,100,83%,88%,88%,91%,85%
H0439 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna HealthCare ,Health Care Service Corporation ,73%,76%,62%,73%,88%,53%,64%,95%,95%,53%,73%,83%,64%,67%,59%,46%,87%,10%,83%,57%,58%,85,87,89,87,87,88,0.19,13%,Medicare shows only a Star Rating for this topic ,100%,97%,98%,100%,0.19,13%,Medicare shows only a Star Rating for this topic ,88,90,99,85%,88%,88%,97%,84%
H0473 ,Local CCP ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana ,Humana Inc. ,70%,67%,61%,Not enough data available ,Not enough data available ,48%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,39%,74%,84%,49%,77%,62%,43%,83%,10%,84%,67%,53%,84,86,91,88,86,87,0.16,22%,Medicare shows only a Star Rating for this topic ,99%,98%,100%,100%,0.16,22%,Medicare shows only a Star Rating for this topic ,88,89,84,83%,88%,88%,93%,84%
H0504 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,80%,77%,72%,74%,75%,54%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,59%,80%,87%,73%,76%,56%,54%,85%,12%,88%,59%,65%,80,80,90,87,88,85,0.1,14%,Medicare shows only a Star Rating for this topic ,99%,100%,98%,100%,0.1,14%,Medicare shows only a Star Rating for this topic ,89,88,99,89%,92%,91%,97%,90%
H0523 ,Local CCP ,AETNA HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,76%,71%,66%,72%,84%,52%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,61%,80%,88%,64%,80%,67%,34%,78%,9%,89%,45%,51%,76,Not enough data available ,86,85,83,85,0.52,27%,Medicare shows only a Star Rating for this topic ,99%,97%,98%,100%,0.52,27%,Medicare shows only a Star Rating for this topic ,86,Not enough data available ,99,87%,91%,89%,96%,91%
H0524 ,Local CCP ,"KAISER FOUNDATION HP, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",88%,88%,80%,66%,80%,61%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,79%,89%,90%,87%,88%,53%,42%,96%,10%,91%,87%,73%,80,80,90,87,89,85,0.05,1%,Medicare shows only a Star Rating for this topic ,99%,99%,98%,98%,0.05,1%,Medicare shows only a Star Rating for this topic ,94,94,100,91%,92%,92%,94%,92%
H0543 ,Local CCP ,UHC OF CALIFORNIA ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",78%,74%,67%,69%,85%,56%,81%,98%,99%,57%,90%,90%,74%,82%,60%,45%,77%,11%,86%,54%,54%,83,84,90,88,88,84,0.18,9%,Medicare shows only a Star Rating for this topic ,100%,99%,100%,100%,0.18,9%,Medicare shows only a Star Rating for this topic ,89,91,100,88%,91%,90%,92%,90%
H0544 ,Local CCP ,BLUE CROSS OF CALIFORNIA ,Anthem Blue Cross ,"Elevance Health, Inc. ",69%,68%,68%,71%,80%,51%,CMS identified issues with this plan's data ,100%,98%,51%,76%,84%,72%,79%,65%,50%,80%,10%,87%,63%,53%,74,79,87,Plan too small to be measured ,84,Plan too small to be measured ,0.31,21%,Medicare shows only a Star Rating for this topic ,96%,97%,100%,100%,0.31,21%,Medicare shows only a Star Rating for this topic ,85,Plan too small to be measured ,99,86%,89%,87%,96%,91%
H0562 ,Local CCP ,"HEALTH NET OF CALIFORNIA, INC. ",Wellcare By Health Net ,Centene Corporation ,77%,78%,70%,Not enough data available ,Not enough data available ,53%,62%,93%,93%,66%,83%,88%,71%,80%,61%,41%,77%,10%,85%,47%,53%,77,80,Not enough data available ,86,86,84,0.3,16%,Medicare shows only a Star Rating for this topic ,96%,100%,100%,100%,0.3,16%,Medicare shows only a Star Rating for this topic ,87,87,100,88%,90%,89%,93%,90%
H0571 ,Local CCP ,CHINESE COMMUNITY HEALTH PLAN ,CCHP (Chinese Community Health Plan) ,Chinese Hospital Association ,76%,78%,80%,74%,83%,54%,91%,89%,91%,55%,79%,83%,79%,70%,74%,35%,40%,10%,87%,32%,45%,76,79,86,85,85,82,0,6%,Medicare shows only a Star Rating for this topic ,89%,87%,91%,91%,0,6%,Medicare shows only a Star Rating for this topic ,84,83,98,91%,89%,87%,99%,92%
H0609 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",81%,76%,71%,68%,83%,55%,77%,99%,99%,47%,91%,96%,80%,90%,58%,46%,82%,11%,88%,58%,61%,83,87,Not enough data available ,88,87,90,0.12,11%,Medicare shows only a Star Rating for this topic ,100%,99%,100%,100%,0.12,11%,Medicare shows only a Star Rating for this topic ,87,89,100,87%,91%,91%,92%,90%
H0624 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",67%,74%,69%,65%,84%,47%,76%,96%,98%,49%,88%,87%,63%,80%,63%,48%,66%,10%,90%,64%,62%,79,Not enough data available ,88,85,87,Not enough data available ,0.15,22%,Medicare shows only a Star Rating for this topic ,99%,99%,100%,100%,0.15,22%,Medicare shows only a Star Rating for this topic ,89,Not enough data available ,100,89%,89%,89%,92%,87%
H0628 ,Local CCP ,AETNA HEALTH OF OHIO INC. ,Aetna Medicare ,CVS Health Corporation ,73%,69%,60%,68%,85%,46%,63%,100%,95%,44%,74%,85%,55%,87%,59%,45%,92%,9%,88%,59%,63%,84,86,91,87,86,90,0.26,28%,Medicare shows only a Star Rating for this topic ,98%,98%,98%,100%,0.26,28%,Medicare shows only a Star Rating for this topic ,87,91,99,86%,90%,89%,94%,86%
H0629 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0630 ,Local CCP ,KAISER FOUNDATION HP OF CO ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",79%,80%,81%,72%,86%,60%,82%,100%,98%,66%,78%,86%,79%,86%,53%,48%,85%,9%,93%,85%,77%,74,76,90,87,89,86,0.05,2%,Medicare shows only a Star Rating for this topic ,99%,97%,98%,98%,0.05,2%,Medicare shows only a Star Rating for this topic ,93,93,100,91%,93%,94%,95%,93%
