Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Geo Code,Address_1,Address_2,City,State,ZIP,Census Tract,SPA,SD,CD,SSD,SAD,USCD,Community,Inventory Type,Bed Type,Target Pop. A,Target Pop. B,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: CWT/TR,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: PIH,Additional Federal Funding: Other,Housing Type,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: Shp,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Utilization Rate,Unit Utilization Rate
342592,183-001250,2018,TH,Alexandria House,Transitional Housing for Single Women & Women with Children,62118,,,,,,,4,2,10,24,53,34,,C,,SFHC,DV,29.0,8.0,2,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,31,0,0,0,,,,0,0,,,0,0,31,31,1.0,1.0
342600,221-002200,2018,TH,Burbank Housing Corporation,Puerta Nueva Transitional Facility,60456,,,,,,,2,5,0,25,43,28,,C,,SFHC,DV,12.0,5.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,12,0,0,0,,,,0,0,,,0,0,12,12,1.0,1.0
342604,226-002500,2018,TH,Casa de Los Angelitos,Casa de Los Angelitos,62118,,,,,,,8,2,0,35,66,43,,C,,SF,DV,0.0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,3,0,0,0,,,,0,0,,,0,0,3,3,1.0,1.0
339536,128-002750,2018,ES,"Center for the Pacific Asian Family, Inc.",CPAF Emergency Shelter,62118,,,,,,,4,3,5,26,50,28,,C,Facility-based beds,SMF+HC,DV,14.0,5.0,5,0.0,0.0,2.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,19,0,0,0,,,,0,0,,,0,0,18,19,0.95,0.9
339540,128-002751,2018,TH,"Center for the Pacific Asian Family, Inc.",CPAF Transitional Housing Program,61428,,,,,,,8,2,0,35,62,43,,C,,HC,DV,34.0,9.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,34,0,0,0,,,,0,0,,,0,0,34,34,1.0,1.0
339561,244-004150,2018,ES,Domestic Violence Center of the Santa Clarita Valley,Shelter Resident Services,63356,,,,,,,2,5,0,21,38,25,,C,Facility-based beds,SMF+HC,DV,6.0,3.0,3,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,9,0,0,0,,,,0,0,,,0,0,4,9,0.44,0.3333333333333333
347081,442-018801,2018,PSH,East LA Community Corporation,Whittier Supportive Housing (aka Whittier Bonnie Beach),62118,3553 Beswick St ,,Los Angeles,CA,90023.0,204920.0,4,1,14,24,53,34,Boyle Heights,C,,HC,,48.0,24.0,0,0.0,0.0,0.0,48,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,48,0,0,0,,,,0,0,,,0,0,49,48,1.02,1.0416666666666667
339608,152-004605,2018,TH,"First To Serve, Inc.",House of Dignity 1,62118,,,,,,,6,2,9,30,59,37,,C,,SF,DV,0.0,0.0,7,0.0,0.0,0.0,0,0,2,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,7,0,0,0,,,,0,0,,,0,0,7,7,1.0,0.7142857142857143
338894,260-005350,2018,ES,"Haven Hills, Inc.",Crisis Shelter (Haven Hills),62118,,,,,,,2,3,3,27,45,30,,C,Facility-based beds,SMF+HC,DV,32.0,6.0,4,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,36,0,0,0,,,,0,0,,,0,0,15,36,0.42,0.6
338898,260-005351,2018,TH,"Haven Hills, Inc.",Haven Two Housing and Employment Program,62118,,,,,,,2,3,3,27,45,30,,C,,HC,DV,44.0,9.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,44,0,0,0,,,,0,0,,,0,0,44,44,1.0,1.0
338892,022-005951,2018,ES,House of Ruth (Claremont),Emergency Shelter for Battered Women,62850,,,,,,,2,3,2,18,46,29,,C,Facility-based beds,SMF+HC,DV,12.0,3.0,2,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,14,0,0,0,,,,0,0,,,0,0,14,14,1.0,1.0
339521,062-006151,2018,TH,"Jenesse Center, Inc.","Center for Women and Children,Center for Women and Children, Sites A and B",62118,,,,,,,6,2,10,30,54,37,,C,,HC,DV,70.0,23.0,4,,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,74,0,0,0,,,,0,0,,,0,0,22,74,0.3,0.18518518518518517
339525,062-006157,2018,ES,"Jenesse Center, Inc.",Fannie Lou Hamer Emergency Shelter,62118,,,,,,,6,2,10,30,54,37,,C,Facility-based beds,HC,DV,24.0,5.0,2,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,26,0,0,0,,,,0,0,,,0,0,17,26,0.65,0.2857142857142857
339529,109-006206,2018,TH,Jewish Family Service Of Los Angeles,Family Violence Project/Hope Cottage,62118,,,,,,,2,3,4,18,46,30,,C,,SMF+HC,DV,23.0,8.0,1,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,24,0,0,0,,,,0,0,,,0,0,24,24,1.0,1.0
344529,519-020200,2018,PSH,Korean Immigrant Worker Advocates Of Southern California,KIWA,62118,,,,,,,4,2,1,24,53,34,,C,,SMF+HC,DV,98.0,27.0,39,0.0,0.0,2.0,46,0,2,18,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,137,0,0,0,,,,0,0,,,0,0,139,137,1.01,0.7272727272727273
338879,092-006503,2018,TH,LTSC Community Development Corporation,Kosumosu Transitional Housing,62118,,,,,,,2,3,4,18,46,30,,C,,HC,DV,24.0,6.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,24,0,0,0,,,,0,0,,,0,0,13,24,0.54,0.8333333333333334
346450,060-009103,2018,OPH,"Rainbow Services, LTD.",Homeless Section 8 Voucher Program (HACLA - Rainbow),62118,,,,,,,8,4,15,35,70,44,,C,,SMF+HC,DV,28.0,9.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,28,0,0,0,,,,0,0,,,0,0,28,28,1.0,1.0
339526,060-009101,2018,ES,"Rainbow Services,Rainbow Services, LTD.",Rainbow House Emergency Shelter,62118,,,,,,,8,4,15,35,70,44,,C,Facility-based beds,SMF+HC,DV,35.0,7.0,2,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,37,0,0,0,,,,0,0,,,0,0,19,37,0.51,0.7777777777777778
339534,060-009102,2018,TH,"Rainbow Services,Rainbow Services, LTD.",Villa Paloma Transitional Shelter,62118,,,,,,,8,4,15,35,70,44,,C,,SMF+HC,DV,43.0,9.0,1,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,44,0,0,0,,,,0,0,,,0,0,25,44,0.57,0.8
339555,072-010075,2018,ES,"Southern California Alcohol and Drug Program, Inc.",Angel Step Inn South - Downey,61032,,,,,,,7,4,0,32,58,40,,C,Facility-based beds,SMF+HC,DV,23.0,7.0,3,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,26,0,0,0,,,,0,0,,,0,0,23,26,0.88,0.7
338394,155-007506,2018,ES,The Midnight Mission,Homelight Family Living,62118,,,,,,,4,2,14,30,53,34,,C,Facility-based beds,HC,DV,40.0,11.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,40,0,0,0,,,,0,0,,,0,0,35,40,0.88,0.9090909090909091
338508,066-008112,2018,ES,The People Concern,Sojourn - Services for Battered Women and Their Children,63384,,,,,,,5,3,0,26,50,33,,C,Facility-based beds,SFHC,DV,20.0,10.0,20,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,40,0,0,0,,,,0,0,,,0,0,37,40,0.92,0.7666666666666667
338580,040-009452,2018,TH,The Salvation Army,The Salvation Army SC Division LA Santa Fe Springs TLC,64074,,,,,,,7,4,0,32,57,38,,C,,HC,DV,116.0,28.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,116,0,0,0,,,,0,0,,,0,0,81,116,0.7,0.9642857142857143
338648,117-001469,2018,ES,Valley Oasis,CES Crisis Housing Program (Valley Oasis),61914,,,,,,,1,5,0,21,36,25,,N,Facility-based beds,SMF,DV,0.0,0.0,58,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,58,0,0,0,,,,0,0,,,0,0,1,58,0.02,0.017241379310344827
346637,117-001475,2018,RRH,Valley Oasis,CES TAY RRH (Valley Oasis),61914,,,,,,,1,5,0,21,36,25,,C,,YMF,DV,0.0,0.0,34,0.0,0.0,0.0,0,0,34,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,34,0,0,0,,,,0,0,,,0,0,34,34,1.0,1.0
346628,117-001452,2018,PSH,Valley Oasis,Shelter Plus Care - Tenant Based Project (LA County),61914,,,,,,,1,5,0,21,36,25,,C,,SFHC,DV,49.0,14.0,4,0.0,0.0,0.0,49,0,0,4,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,53,0,0,0,,,,0,0,,,0,0,53,53,1.0,1.0
338646,117-001453,2018,TH,Valley Oasis,Steppin' Into The Light,61914,,,,,,,1,5,0,21,36,25,,C,,HC,DV,24.0,9.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,24,0,0,0,,,,0,0,,,0,0,24,24,1.0,1.0
338647,117-001454,2018,ES,Valley Oasis,Valley Oasis Shelter,61914,,,,,,,1,5,0,21,36,25,,C,Facility-based beds,SMF+HC,DV,24.0,6.0,5,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,29,0,0,0,,,,0,0,,,0,0,27,29,0.93,0.9090909090909091
338994,398-016650,2018,ES,Women & Children's Crisis Shelter,Women & Children's Crisis Shelter,64074,,,,,,,7,4,0,32,57,38,,C,Facility-based beds,HC,DV,28.0,7.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,28,0,0,0,,,,0,0,,,0,0,16,28,0.57,0.8571428571428571
338996,322-011701,2018,TH,YWCA of San Gabriel Valley,WINGS Transitional Program,69037,,,,,,,3,5,0,22,48,32,,C,,HC,DV,12.0,4.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,12,0,0,0,,,,0,0,,,0,0,4,12,0.33,0.5
338995,322-011700,2018,TH,YWCA of San Gabriel Valley,Women in Need Growing Strong (WINGS),69037,,,,,,,3,5,0,22,48,32,,C,,SMF+HC,DV,29.0,7.0,2,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,31,0,0,0,,,,0,0,,,0,0,23,31,0.74,0.6666666666666666
344958,026-006922,2018,PSH,Los Angeles Family Housing Corporation,CA1106 Day Street Apartments,62118,7639 Day St,                                                  ,Tujunga,CA,91402.0,101400.0,2,5,7,25,39,28,Sunland-Tujunga,C,,SMF,,0.0,0.0,16,0.0,0.0,0.0,0,0,0,16,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,16,0,16,0,,1.0,,0,0,,,0,0,14,16,0.88,0.875
344949,026-006888,2018,PSH,Los Angeles Family Housing Corporation,Day Street Apartments,62118,7639 Day St,                                                  ,Tujunga,CA,91402.0,101400.0,2,5,7,25,39,28,Sunland-Tujunga,C,,SMF,,0.0,0.0,29,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,29,0,29,0,,1.0,,0,0,,,0,0,29,29,1.0,1.0
347315,020-005607,2018,PSH,Hillview Mental Health Center Inc.,CA0391 Shelter Plus Care PRA,62118,12408 Van Nuys Blvd,,Pacoima,CA,91331.0,104105.0,2,3,7,18,39,29,Pacoima,C,,SMF,,0.0,0.0,35,0.0,0.0,0.0,0,0,0,35,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,35,0,35,0,,1.0,,0,0,,,0,0,35,35,1.0,1.0
347475,020-005608,2018,PSH,Hillview Mental Health Center Inc.,CA0392 Shelter Plus Care SRA,62118,12408 Van Nuys Blvd,,Pacoima,CA,91331.0,104105.0,2,3,7,18,39,29,Pacoima,C,,SMF,,0.0,0.0,22,0.0,0.0,0.0,0,0,0,22,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,22,0,22,0,,1.0,,0,0,,,0,0,22,22,1.0,1.0
347476,020-005612,2018,PSH,Hillview Mental Health Center Inc.,CA0393 Shelter Plus Care TRA,62118,12408 Van Nuys Blvd,,Pacoima,CA,91331.0,104105.0,2,3,7,18,39,29,Pacoima,C,,SMF,,0.0,0.0,13,0.0,0.0,0.0,0,0,0,13,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,13,0,13,0,,1.0,,0,0,,,0,0,13,13,1.0,1.0
338885,500-019252,2018,ES,Hope of the Valley,Winter Shelter Program Pacoima 42,62118,11067 Norris Ave, ,Pacoima,CA,91331.0,104320.0,2,3,7,18,39,29,Pacoima,C,Facility-based beds,SMF,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,,,,120,120,2017-12-01,2018-02-28,0,0,119,120,0.99,0.9916666666666667
346587,011-001115,2018,PSH,A Community of Friends,CA0884 Osborne Place Apartments,62118,12230 W Osborne Ave,                                                  ,Los Angeles,CA,91331.0,104704.0,2,3,7,18,39,29,Pacoima,C,,HC,,157.0,62.0,0,0.0,0.0,0.0,157,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,157,157,0,0,1.0,,,0,0,,,0,0,154,157,0.98,1.0161290322580645
339003,124-008515,2018,TH,Penny Lane Centers,CA0501 Moon Light Transitional Housing Program,62118,12381 Osborne St , ,Pacoima,CA,91331.0,104704.0,2,3,7,18,39,29,Pacoima,C,,YMF,,6.0,3.0,5,1.0,0.0,6.0,0,0,5,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,12,6,5,1,1.0,1.0,1.0,0,0,,,0,0,12,12,1.0,1.0
346277,437-018550,2018,PSH,Penny Lane Centers,Moon Light,62118,12381 Osborne St,,Pacoima,CA,91331.0,104704.0,2,3,7,18,39,29,Pacoima,C,,SMF+HC,,9.0,4.0,4,0.0,0.0,9.0,0,0,4,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,13,0,0,0,,,,0,0,,,0,0,13,13,1.0,1.0
345001,396-016451u,2018,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 82 West Valley,62118,21415-21615 Plummer St, ,Chatsworth,CA,91311.0,113237.0,2,5,12,27,45,30,Chatsworth,C,Voucher beds,HC,,54.0,18.0,0,0.0,0.0,0.0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,54,0,0,0,,,,0,0,,,0,0,54,54,1.0,1.0
