HMIS Proj ID,Row #,Year,Proj. Type,Organization Name,Project Name,Address,City,State,ZIP,SPA,SD,CD,Community,Geo Code,HMIS-Participating,Inventory Type,Bed Type,Target Pop.,Project Gender,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Victim Service Provider,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: PIH,Additional Federal Funding: Other,Housing Type,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: SHP,McKinney- Vento: YHDP,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,Overflow Beds,Individual Household Counted as Domestic Violence Victim,Family Household Members Counted as Domestic Violence Victim,Youth Household Members Counted as Domestic Violence Victim,PIT Count,Total Beds,Utilization Rate
1210,441236,2020,PSH,The People Concern,CA0409 Lamp Lodge - Supportive Services,660 Stanford Ave.,Los Angeles,CA,90021,4,2,14,Downtown,62118,Yes,C,,,All,0,0,12,0,0,0,0,0,0,12,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,12,0,,,0,0.0,0.0,0.0,13.0,12,1.08
1212,440947,2020,ES,Volunteers of America of Los Angeles,CES Crisis Housing Program P2H,3804 Broadway Pl.,Los Angeles,CA,90037,6,2,9,Historic South-Central,62118,Yes,C,Facility-based beds,,Male,0,0,190,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,190,0,,,0,1.0,0.0,0.0,98.0,190,0.52
1222,441237,2020,PSH,PATH Ventures,NoHo Senior Villas,5525 Klump Ave.,North Hollywood,CA,91601,2,3,2,North Hollywood,62118,Yes,C,,,All,0,0,48,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,48,0,,,0,0.0,0.0,0.0,30.0,48,0.62
1223,441238,2020,PSH,PATH Ventures,Villas at Gower,1726 N. Gower St.,Los Angeles,CA,90028,4,3,13,Hollywood,62118,Yes,C,,,All,25,8,62,0,0,0,0,0,0,24,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,87,0,,,0,0.0,0.0,0.0,82.0,87,0.94
1224,441240,2020,PSH,Skid Row Housing Trust,New Genesis Apartments,456 S. Main St.,Los Angeles,CA,90013,4,1,14,Downtown,62118,Yes,C,,,All,0,0,79,0,0,0,0,0,0,37,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,79,0,,,0,0.0,0.0,0.0,73.0,79,0.92
1227,441241,2020,RRH,Valley Oasis,AVD FSC Rapid Re-Housing,310 E. Palmdale Blvd.,Palmdale,CA,93550,1,5,0,Palmdale,62658,Yes,C,,,All,181,52,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,181,0,,,0,0.0,19.0,0.0,181.0,181,1.0
1229,441242,2020,RRH,Union Station Homeless Services,USHS FSC Rapid Re-Housing,825 E. Orange Grove Blvd.,Pasadena,CA,91104,3,5,0,Pasadena,62724,Yes,C,,,All,191,51,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,191,0,,,0,0.0,0.0,0.0,191.0,191,1.0
1237,441243,2020,RRH,St. Joseph Center,STJ FSC Rapid Re-housing,204 Hampton Dr.,Venice,CA,90291,5,3,11,Venice,62118,Yes,C,,,All,373,117,22,0,1,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,395,0,,,0,0.0,9.0,0.0,395.0,395,1.0
1244,440948,2020,ES,Society of St. Vincent de Paul,Emergency Transitions Program,231 Winston St.,Los Angeles,CA,90013,4,1,14,Downtown,62118,Yes,C,Facility-based beds,,Male,0,0,5,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,5,0,,,0,0.0,0.0,0.0,0.0,5,0.0
1246,441245,2020,RRH,LA Family Housing Corporation (LAFH),LFH FSC Rapid Re-Housing,7843 Lankershim Blvd.,North Hollywood,CA,91605,2,3,6,Sun Valley,62118,Yes,C,,,All,532,144,24,0,2,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,556,0,,,0,0.0,0.0,0.0,556.0,556,1.0
1251,441247,2020,PSH,Step Up on Second,CA0401 Permanent Supportive Housing,1328 2nd St.,Santa Monica,CA,90401,5,3,0,Santa Monica,63384,Yes,C,,,All,0,0,16,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,16,0,,,0,0.0,0.0,0.0,15.0,16,0.94
1252,441248,2020,PSH,Homeless Health Care Los Angeles,Housing for Health,2330 Beverly Blvd.,Los Angeles,CA,90057,4,1,13,Westlake,62118,Yes,C,,,,2,1,235,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,237,0,,,0,0.0,0.0,0.0,278.0,237,1.17
1256,441250,2020,PSH,Los Angeles County Department of Mental Health (DMH),CA0324 Good Samaritan Bonus,550 S. Vermont Ave.,Los Angeles,CA,90020,4,2,13,Koreatown,62118,Yes,C,,,All,0,0,99,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,99,0,,,0,0.0,0.0,0.0,93.0,99,0.94
1257,441251,2020,PSH,A Community of Friends,CA0374 Osborne Place Apartments - Supportive Services,12230 W. Osborne Pl.,Los Angeles,CA,91331,2,3,7,Pacoima,62118,Yes,C,,,All,102,10,52,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,154,0,,,0,1.0,0.0,0.0,126.0,154,0.82
1271,440949,2020,ES,SRO Housing Corporation,H Crisis Housing,CONFIDENTIAL,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,Yes,C,Facility-based beds,HIV,All,0,0,25,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,No,25,0,,,0,0.0,0.0,0.0,20.0,25,0.8
1272,441253,2020,PSH,Coalition for Responsible Community Development,28th Street Apartments,1006 E. 28th St.,Los Angeles,CA,90011,6,2,9,Historic South-Central,62118,Yes,C,,,All,0,0,10,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,10,0,,,0,0.0,0.0,0.0,10.0,10,1.0
1273,441254,2020,PSH,Affordable Living for the Aging,Parkview on the Park Apartments,626 S. Alvarado St.,Los Angeles,CA,90057,4,1,1,Westlake,62118,Yes,C,,,,0,0,34,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,34,0,,,0,,,,35.0,34,1.03
1281,441255,2020,PSH,LA Family Housing Corporation (LAFH),DHS Housing for Health,7843 Lankershim Blvd.,North Hollywood,CA,91605,2,3,6,Sun Valley,62118,Yes,C,,,All,0,0,295,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,295,0,,,0,0.0,0.0,0.0,189.0,295,0.64
1285,441256,2020,PSH,People Assisting the Homeless (PATH),Housing for Health,340 N. Madison Ave.,Los Angeles,CA,90004,4,2,13,East Hollywood,62118,Yes,C,,,All,0,0,313,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,313,0,,,0,0.0,0.0,0.0,390.0,313,1.25
1288,440950,2020,ES,The People Concern,HAUS,527 Crocker St.,Los Angeles,CA,90013,4,2,14,Downtown,62118,Yes,C,Facility-based beds,,All,0,0,25,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,25,0,,,0,1.0,0.0,0.0,19.0,25,0.76
1295,441257,2020,PSH,Hollywood Community Housing Corporation,Argyle Court Apartments,CONFIDENTIAL,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,Yes,C,,HIV,All,2,1,27,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,29,0,,,0,0.0,0.0,0.0,28.0,29,0.97
1296,441259,2020,PSH,Hollywood Community Housing Corporation,Waterloo Heights Apartments,CONFIDENTIAL,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,Yes,C,,HIV,All,0,0,17,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,17,0,,,0,0.0,0.0,0.0,19.0,17,1.12
1297,441260,2020,PSH,Hollywood Community Housing Corporation,Allesandro Apartments,CONFIDENTIAL,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,CONFIDENTIAL,62118,Yes,C,,HIV,All,4,1,19,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,23,0,,,0,0.0,0.0,0.0,23.0,23,1.0
1303,441262,2020,PSH,Skid Row Housing Trust,Star Apartments,240 E. 6th St.,Los Angeles,CA,90013,4,2,14,Downtown,62118,Yes,C,,,All,0,0,100,0,0,0,0,0,0,58,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,100,0,,,0,1.0,0.0,0.0,98.0,100,0.98
1314,441263,2020,PSH,SRO Housing Corporation,CA0996 Gateway Apartments,505 S. San Pedro St.,Los Angeles,CA,90011,4,2,14,Downtown,62118,Yes,C,,,All,0,0,53,0,0,0,0,0,0,53,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,53,0,,,0,0.0,0.0,0.0,46.0,53,0.87
1315,441264,2020,PSH,SRO Housing Corporation,CA0430 Golden West Permanent Housing Program,417 E. 5th St.,Los Angeles,CA,90013,4,1,14,Downtown,62118,Yes,C,,,All,0,0,59,0,0,0,0,0,0,59,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,59,0,,,0,0.0,0.0,0.0,41.0,59,0.69
1316,441265,2020,PSH,SRO Housing Corporation,Ford Apartments,1000 E. 7th St.,Los Angeles,CA,90021,4,2,14,Downtown,62118,Yes,C,,,All,0,0,90,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,90,0,,,0,0.0,0.0,0.0,86.0,90,0.96
1336,441266,2020,OPH,People Assisting the Homeless (PATH),HACLA Tenant Based Supportive Housing TBSH,340 N. Madison Ave.,Los Angeles,CA,90004,4,2,13,East Hollywood,62118,Yes,C,,,All,0,0,51,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,51,0,,,0,0.0,0.0,0.0,28.0,51,0.55
1337,440951,2020,ES,The Whole Child,TWC FSC Crisis Housing,9251 Pioneer Blvd.,Santa Fe Springs,CA,90670,7,4,0,Santa Fe Springs,69037,Yes,C,Facility-based beds,,All,37,6,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,37,0,,,0,0.0,0.0,0.0,32.0,37,0.86
1339,441267,2020,RRH,The Whole Child,TWC FSC Rapid Re-Housing,9251 Pioneer Blvd.,Santa Fe Springs,CA,90670,7,4,0,Santa Fe Springs,69037,Yes,C,,,All,354,83,13,0,1,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,367,0,,,0,0.0,0.0,0.0,367.0,367,1.0
1340,441269,2020,RRH,Harbor Interfaith Services,HIS FSC Rapid Re-Housing,663 W. 10th St.,San Pedro,CA,90731,8,4,15,San Pedro,62118,Yes,C,,,All,366,113,8,0,1,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,374,0,,,0,0.0,0.0,0.0,374.0,374,1.0
1343,441271,2020,RRH,People Assisting the Homeless (PATH),PAT FSC Rapid Re-Housing,3323 W. Washington Blvd.,Los Angeles,CA,90018,4,2,10,Arlington Heights,62118,Yes,C,,,All,541,162,6,0,1,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,547,0,,,0,0.0,0.0,0.0,547.0,547,1.0
1347,440952,2020,ES,Upward Bound House,UBH FSC Crisis Housing SPA 5,12841  Washington Blvd.,Culver City,CA,90066,5,2,0,Culver City,69037,Yes,C,Facility-based beds,,All,32,12,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,32,0,,,0,0.0,0.0,0.0,31.0,32,0.97
1350,440953,2020,ES,The Salvation Army,DMH Interim Housing Zahn,832 W. James M. Wood Blvd.,Los Angeles,CA,90015,4,1,14,Downtown,62118,Yes,C,Facility-based beds,,All,36,12,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,36,0,,,0,0.0,0.0,0.0,36.0,36,1.0
1351,441273,2020,PSH,Coalition for Responsible Community Development,CRCD Apartments,7821 S. Figueroa St.,Los Angeles,CA,90003,6,2,8,Vermont Knolls,62118,Yes,C,,,All,0,0,10,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – clustered / multiple sites,No,No,No,No,No,No,No,No,No,No,No,No,No,10,0,,,0,0.0,0.0,0.0,10.0,10,1.0
1354,441274,2020,PSH,"San Fernando Valley Community Mental Health Center, Inc.",CA1110 HACLA Shelter Plus Care Program,"16360 Roscoe Blvd., Ste 200",Van Nuys,CA,91406,2,3,6,Van Nuys,62118,Yes,C,,,All,0,0,25,0,0,0,0,0,0,25,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,25,0,,,0,0.0,0.0,0.0,22.0,25,0.88
1356,441275,2020,RRH,Mental Health America,SSVF RRH,506 W. Jackman St.,Lancaster,CA,93534,1,5,0,Lancaster,61914,Yes,C,,,All,20,6,20,0,7,0,0,17,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,40,0,,,0,3.0,0.0,0.0,40.0,40,1.0
1358,441277,2020,RRH,Volunteers of America of Los Angeles,SSVF RRH,240 N. Breed St.,Los Angeles,CA,90033,4,1,14,Boyle Heights,62118,Yes,C,,,All,7,2,80,0,2,0,0,77,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,87,0,,,0,1.0,1.0,0.0,87.0,87,1.0
1360,441279,2020,RRH,People Assisting the Homeless (PATH),SSVF RRH,5627 Fernwood Ave.,Los Angeles,CA,90028,4,3,13,Hollywood,62118,Yes,C,,,All,2,1,57,0,1,0,0,55,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,59,0,,,0,0.0,0.0,0.0,59.0,59,1.0
1369,441281,2020,RRH,"United States Veterans Initiative, Inc.",SSVF RRH,"800 W. Sixth St., Ste. 1505",Los Angeles,CA,90017,4,1,14,Downtown,62118,Yes,C,,,All,31,8,29,0,9,0,0,27,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tenant-based – scattered site,No,No,No,No,No,No,No,No,No,No,No,No,No,60,0,,,0,0.0,0.0,0.0,60.0,60,1.0
1394,441283,2020,TH,The Teen Project,Freehab,8140 Sunland Blvd.,Sun Valley,CA,91352,2,3,6,Sun Valley,69037,Yes,C,,,,0,0,4,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,4,0,,,0,,,,4.0,4,1.0
1396,441284,2020,PSH,Volunteers of America of Los Angeles,VASH Program,240 N. Breed St.,Los Angeles,CA,90033,4,1,14,Boyle Heights,62118,Yes,C,,,All,16,3,446,0,16,0,0,446,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,462,0,,,0,0.0,0.0,0.0,469.0,462,1.02
1409,441286,2020,PSH,LA Family Housing Corporation (LAFH),DHS Palo Verde Apartments,8925 Glenoaks Blvd.,Sun Valley,CA,91352,2,3,6,Sun Valley,62118,Yes,C,,,All,0,0,59,0,0,0,0,0,0,21,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Site-based – single site,No,No,No,No,No,No,No,No,No,No,No,No,No,59,0,,,0,0.0,0.0,0.0,59.0,59,1.0
