Row #,Year,Proj. Type,Organization Name,Project Name,City,State,ZIP,SPA,SD,CD,Geo Code,Inventory Type,Bed Type,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,Overflow Beds,PIT Count,Total Beds
441269,2020,RRH,Harbor Interfaith Services,HIS FSC Rapid Re-Housing,San Pedro,CA,90731,8,4,15,62118.0,C,,366.0,113.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,374,0.0,,,0.0,374.0,374
441271,2020,RRH,People Assisting the Homeless (PATH),PAT FSC Rapid Re-Housing,Los Angeles,CA,90018,4,2,10,62118.0,C,,541.0,162.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,547,0.0,,,0.0,547.0,547
440952,2020,ES,Upward Bound House,UBH FSC Crisis Housing SPA 5,Culver City,CA,90066,5,2,0,69037.0,C,Facility-based beds,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,,,0.0,31.0,32
440953,2020,ES,The Salvation Army,DMH Interim Housing Zahn,Los Angeles,CA,90015,4,1,14,62118.0,C,Facility-based beds,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,,,0.0,36.0,36
441273,2020,PSH,Coalition for Responsible Community Development,CRCD Apartments,Los Angeles,CA,90003,6,2,8,62118.0,C,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,,,0.0,10.0,10
441274,2020,PSH,"San Fernando Valley Community Mental Health Center, Inc.",CA1110 HACLA Shelter Plus Care Program,Van Nuys,CA,91406,2,3,6,62118.0,C,,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25,0.0,,,0.0,22.0,25
441275,2020,RRH,Mental Health America,SSVF RRH,Lancaster,CA,93534,1,5,0,61914.0,C,,20.0,6.0,20.0,0.0,7.0,0.0,0.0,17.0,0.0,0.0,0.0,40,0.0,,,0.0,40.0,40
441277,2020,RRH,Volunteers of America of Los Angeles,SSVF RRH,Los Angeles,CA,90033,4,1,14,62118.0,C,,7.0,2.0,80.0,0.0,2.0,0.0,0.0,77.0,0.0,0.0,0.0,87,0.0,,,0.0,87.0,87
441279,2020,RRH,People Assisting the Homeless (PATH),SSVF RRH,Los Angeles,CA,90028,4,3,13,62118.0,C,,2.0,1.0,57.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0,0.0,59,0.0,,,0.0,59.0,59
441281,2020,RRH,"United States Veterans Initiative, Inc.",SSVF RRH,Los Angeles,CA,90017,4,1,14,62118.0,C,,31.0,8.0,29.0,0.0,9.0,0.0,0.0,27.0,0.0,0.0,0.0,60,0.0,,,0.0,60.0,60
441283,2020,TH,The Teen Project,Freehab,Sun Valley,CA,91352,2,3,6,69037.0,C,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,,,0.0,4.0,4
441284,2020,PSH,Volunteers of America of Los Angeles,VASH Program,Los Angeles,CA,90033,4,1,14,62118.0,C,,16.0,3.0,446.0,0.0,16.0,0.0,0.0,446.0,0.0,0.0,0.0,462,0.0,,,0.0,469.0,462
441286,2020,PSH,LA Family Housing Corporation (LAFH),DHS Palo Verde Apartments,Sun Valley,CA,91352,2,3,6,62118.0,C,,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,59,0.0,,,0.0,59.0,59
441287,2020,PSH,Project New Hope,Knob Hill Apartments,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,62118.0,C,,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,,,0.0,35.0,38
441288,2020,PSH,SRO Housing Corporation,PBV Rosslyn Apartments,Los Angeles,CA,90013,4,1,14,62118.0,C,,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,93,0.0,,,0.0,88.0,93
441289,2020,TH,Penny Lane Centers,Cedar Ridge Transitional Housing,Lancaster,CA,93534,1,5,0,61914.0,C,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7,0.0,,,0.0,6.0,7
441290,2020,TH,Penny Lane Centers,Moon Light Transitional Housing Program,Pacoima,CA,91331,2,3,7,62118.0,C,,18.0,4.0,5.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,0.0,23,0.0,,,0.0,21.0,23
441292,2020,TH,First Place for Youth,Transitional Housing Program SPA 8,Inglewood,CA,90302,8,2,0,61740.0,C,,5.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,9,0.0,,,0.0,9.0,9
441294,2020,TH,Los Angeles Youth Network,CES Transitional Housing Youth Program,Los Angeles,CA,90028,4,3,13,62118.0,C,,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17,0.0,,,0.0,15.0,17
441295,2020,PSH,LA Family Housing Corporation (LAFH),DHS Day Street Apartments,Tujunga,CA,91402,2,5,7,69037.0,C,,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0,,,0.0,26.0,29
440870,2020,ES,Hope of the Valley Rescue Mission,Winter Shelter Program Pacoima SPA 2,Pacoima,CA,91331,2,3,7,62118.0,C,Facility-based beds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,138.0,2019-12-01 00:00:00,2020-03-31 00:00:00,0.0,120.0,138
440869,2020,ES,Hope of the Valley Rescue Mission,Winter Shelter Program Pacoima SPA 2,Pacoima,CA,91331,2,3,7,62118.0,U,Facility-based beds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.0,2020-04-01 00:00:00,2020-12-31 00:00:00,0.0,,0
440954,2020,ES,Volunteers of America of Los Angeles,CES Crisis Housing Program C4L,Los Angeles,CA,90003,6,2,8,62118.0,C,Facility-based beds,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.0,,,0.0,33.0,81
441296,2020,PSH,A Community of Friends,CA1104 Avalon Apartments,Los Angeles,CA,90061,6,2,0,62118.0,C,,27.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0.0,,,0.0,40.0,43
441298,2020,TH,United Friends of the Children,Measure H 205 Pathways to Independence A,Los Angeles,CA,90045,5,2,11,62118.0,C,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9,0.0,,,0.0,8.0,9
441299,2020,TH,United Friends of the Children,Measure H 204 Pathways to Independence B,Los Angeles,CA,90022,7,1,0,62118.0,C,,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38,0.0,,,0.0,32.0,38
441300,2020,RRH,Mental Health America,SSVF RRH LB,Long Beach,CA,90802,8,4,0,62088.0,C,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,,,0.0,1.0,1
441301,2020,RRH,The Salvation Army,SSVF RRH 20CA017,Long Beach,CA,90802,8,4,0,62088.0,C,,15.0,5.0,54.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,0.0,69,0.0,,,0.0,69.0,69
440955,2020,ES,Proyecto Pastoral,Womens Shelter Program,Los Angeles,CA,90033,4,1,14,62118.0,C,Facility-based beds,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,,,0.0,13.0,15
440956,2020,ES,"Special Service for Groups, Inc.",SSG FSC Crisis Housing,Los Angeles,CA,90044,6,2,8,62118.0,C,Facility-based beds,632.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632,0.0,,,0.0,693.0,632
440957,2020,ES,The People Concern,DMH Interim Housing Samoshel,Santa Monica,CA,90401,5,3,0,63384.0,C,Facility-based beds,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,,,0.0,9.0,10
440958,2020,ES,Volunteers of America of Los Angeles,Exodus Reserve Beds,Los Angeles,CA,90037,6,2,9,62118.0,C,Facility-based beds,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,,,0.0,3.0,9
440959,2020,ES,SRO Housing Corporation,Housing For Health Access Emergency,Los Angeles,CA,90013,4,2,14,62118.0,C,Facility-based beds,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,,,0.0,58.0,60
440960,2020,ES,The People Concern,CES Bridge Housing Program Reserved Village,Los Angeles,CA,90013,4,2,14,62118.0,C,Facility-based beds,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,,,0.0,20.0,20
440961,2020,ES,Volunteers of America of Los Angeles,CES Bridge Housing Program Reserved,Los Angeles,CA,90037,6,2,9,62118.0,C,Facility-based beds,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,,,0.0,9.0,30
440962,2020,ES,LA Family Housing Corporation (LAFH),CES Bridge Housing Program Path to Home Reserved,Los Angeles,CA,91605,2,3,6,62118.0,C,Facility-based beds,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,,,0.0,30.0,30
440963,2020,ES,People Assisting the Homeless (PATH),CES Bridge Housing Hollywood Reserved,Los Angeles,CA,90004,4,2,13,62118.0,C,Facility-based beds,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,,,0.0,26.0,30
440964,2020,ES,People Assisting the Homeless (PATH),CES Crisis Housing Program Los Angeles,Los Angeles,CA,90004,4,2,13,62118.0,C,Facility-based beds,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,,,0.0,23.0,39
440965,2020,ES,The Salvation Army,CES Bridge Housing Program Reserved,Bell,CA,90201,7,1,0,69037.0,C,Facility-based beds,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,,,0.0,16.0,15
440966,2020,ES,Testimonial Community Love Center,CES Crisis Housing Program CITY,Los Angeles,CA,90062,6,2,8,62118.0,C,Facility-based beds,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,,,0.0,11.0,20
441303,2020,TH,The Village Family Services,CES Transitional Housing Program Hope of the Valley SPA 2,Burbank,CA,91502,2,5,0,60456.0,C,,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18,0.0,,,0.0,17.0,18
441304,2020,PSH,Watts Labor Community Action Committee,CA0466 South Central Access Center - Supportive Services,Los Angeles,CA,90059,6,2,15,62118.0,C,,8.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,48,0.0,,,0.0,48.0,48
441306,2020,PSH,Union Station Homeless Services,USHS Housing For Health,Pasadena,CA,91104,3,5,0,62724.0,C,,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,0.0,,,0.0,313.0,313
441307,2020,PSH,The Whole Child,CA0465 Shelter Plus Care,Santa Fe Springs,CA,90670,7,4,0,69037.0,C,,520.0,130.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,555,0.0,,,0.0,575.0,555
440967,2020,ES,People Assisting the Homeless (PATH),WLA Harm Reduction,Los Angeles,CA,90064,5,3,5,62118.0,C,Facility-based beds,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,,,0.0,21.0,21
441309,2020,PSH,Skid Row Housing Trust,New Pershing Apartments,CONFIDENTIAL,CA,CONFIDENTIAL,4,CONFIDENTIAL,CONFIDENTIAL,62118.0,C,,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,62,0.0,,,0.0,62.0,62
441310,2020,PSH,New Directions for Veterans,Beswick Guy Gabaldon,Los Angeles,CA,90023,4,1,14,62118.0,C,,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32,0.0,,,0.0,28.0,32
441311,2020,PSH,New Directions for Veterans,El Monte Veterans Village,El Monte,CA,91731,3,1,0,61152.0,C,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40,0.0,,,0.0,39.0,40
441312,2020,PSH,New Directions for Veterans,Sepulveda 1 - PSH,Los Angeles,CA,90073,5,3,0,62118.0,C,,0.0,0.0,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,97,0.0,,,0.0,102.0,97
441313,2020,PSH,Step Up on Second,DHS Step Up on Colorado,Santa Monica,CA,90401,5,3,0,63384.0,C,,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,,,0.0,31.0,32
441314,2020,PSH,Step Up on Second,DHS Scattered Sites,Santa Monica,CA,90401,5,3,0,63384.0,C,,18.0,5.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356,0.0,,,0.0,264.0,356
441316,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DMH Step Up on Second Bonus,Santa Monica,CA,90401,5,3,0,63384.0,C,,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,,,0.0,40.0,40
441317,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS Step Up on Second Bonus,Santa Monica,CA,90401,5,3,0,63384.0,C,,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,,,0.0,33.0,37
441318,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DMH Gettlove Bonus,Los Angeles,CA,90057,4,2,1,62118.0,C,,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,,,0.0,15.0,15
441319,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS Gettlove Bonus,Los Angeles,CA,90057,4,2,1,62118.0,C,,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45,0.0,,,0.0,40.0,45
441320,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DMH Homeless Healthcare LA Bonus,Los Angeles,CA,90057,4,1,13,62118.0,C,,4.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,,,0.0,31.0,31
441322,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS Homeless Healthcare LA Bonus,Los Angeles,CA,90057,4,1,13,62118.0,C,,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31,0.0,,,0.0,28.0,31
441323,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DMH SSG HOPICS Bonus,Los Angeles,CA,90003,6,2,9,62118.0,C,,18.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0,,,0.0,48.0,48
441325,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS SSG HOPICS Bonus,Los Angeles,CA,90003,6,2,9,62118.0,C,,7.0,3.0,26.0,0.0,0.0,0.0,7.0,0.0,26.0,0.0,0.0,33,0.0,,,0.0,32.0,33
441327,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DMH St Joseph Bonus,Venice,CA,90291,5,3,11,62118.0,C,,3.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,,,0.0,33.0,33
441329,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS St Joseph Bonus,Venice,CA,90291,5,3,11,62118.0,C,,2.0,1.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,34,0.0,,,0.0,33.0,34
441331,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DMH LAMP Bonus,Los Angeles,CA,90013,4,2,14,62118.0,C,,8.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,,,0.0,28.0,28
441333,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS LAMP Bonus,Los Angeles,CA,90013,4,2,14,62118.0,C,,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25,0.0,,,0.0,25.0,25
441334,2020,PSH,Housing Authority of the City of Los Angeles (HACLA),DHS Mental Health America Bonus,Long Beach,CA,90802,8,4,0,62088.0,C,,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35,0.0,,,0.0,23.0,35
