Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Address,City,State,ZIP,Geo Code,Census Tract,SPA,SD,CD,SSD,AD,Inventory Type,TH Unit Type,Bed Type,Target Pop. A,Target Pop. B,Youth Program,Veteran Program,HMIS,McKinney- Vento,LAHSA Funded,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Utilization Rate
251345,394-017801,2016,TH,A New Way of Life,Transitional Housing Program,PO Box 875288,Los Angeles,CA,90087.0,62118.0,207102.0,SPA 4,SD 1,CD1,SSD 24,AD 51,N,Single,,SFHC,,0,0,HMIS,Yes,Yes,0.0,0.0,44,0.0,0.0,0.0,,0.0,0.0,,,44,0.0,44.0,0.0,,1.0,,,,,,,,26.0,44,0.59
251318,277-007051,2016,PSH,Abbey Road (Los Angeles Housing Partnership),Mid-Celis Apartments,1422 San Fernando Road,San Fernando,CA,91340.0,69037.0,320300.0,SPA 2,SD 3,NA ,SSD 18,AD 39,N,,,SMF+HC,,1,0,Non-HMIS,No,No,53.0,15.0,4,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,57,0.0,0.0,0.0,,,,,,,,,,57.0,57,1.0
251383,437-018550,2016,PSH,Abbey Road (Penny Lane),Moonlight Villas,12381 Osborne Street,Pacoima,CA,91331.0,62118.0,104704.0,SPA 2,SD 3,CD7,SSD 18,AD 39,N,,,SMF,,1,0,Non-HMIS,No,No,42.0,13.0,4,0.0,0.0,42.0,0.0,0.0,4.0,0.0,0.0,46,,,,,,,,,,,,,46.0,46,1.0
251249,365-014651,2016,PSH,Abode Communities,Casa Dominguez,15727 S. Atlantic Ave,Compton,CA,90221.0,60804.0,542106.0,SPA 6,SD 2,NA ,SSD 33,AD 63,C,,,SMF+HC,,1,0,Non-HMIS,No,No,222.0,70.0,7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,229,0.0,0.0,0.0,,,,,,,,,,145.0,229,0.63
250979,365-014652,2016,PSH,Abode Communities,Ivy Terrace,13751 Sherman Way,Van Nuys,CA,91405.0,62118.0,127104.0,SPA 2,SD 3,CD2,SSD 18,AD 46,C,,,SMF+HC,,0,0,Non-HMIS,No,No,45.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,,,,,,,,,,45.0,45,1.0
251248,365-014650,2016,PSH,Abode Communities,Terra Bella,5720 CLARA STREET,BELL GARDENS,CA,90201.0,69037.0,534202.0,SPA 7,SD 1,NA ,SSD 33,AD 58,C,,,SMF,,0,0,Non-HMIS,No,No,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,,,,,,,,,,80.0,80,1.0
251267,438-018600,2016,PSH,Affordable Housing CDC,Knob Hills Apts,2403 W. 4th Street,Los Angeles,CA,90057.0,62118.0,208802.0,SPA 4,SD 1,CD1,SSD 24,AD 53,C,,,SMF,,0,0,Non-HMIS,No,No,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,38,0.0,0.0,0.0,,,,,,,,,,38.0,38,1.0
250861,177-014502,2016,PSH,Affordable Living for the Aging,Bonnie Brae,208 S. Bonnie Brae St.,Los Angeles,CA,90057.0,62118.0,208401.0,SPA 4,SD 1,CD13,SSD 24,AD 51,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45,0.0,45.0,0.0,,1.0,,,,,,,,39.0,45,0.87
251262,414-017301,2016,PSH,Affordable Living for the Aging,Janet L. Witkin Center,937 N Fairfax Ave,West Hollywood,CA,90046.0,69037.0,700200.0,SPA 4,SD 3,NA ,SSD 26,AD 50,C,,,SMF,,0,0,Non-HMIS,No,No,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6,0.0,0.0,0.0,,,,,,,,,,6.0,6,1.0
251320,414-017303,2016,PSH,Affordable Living for the Aging,Lancaster Shared Housing,44608 Benald St,Lancaster,CA,93535.0,61914.0,900608.0,SPA 1,SD 5,NA ,SSD 21,AD 36,U,,,SMF,,0,0,Non-HMIS,No,No,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,,,,,,,,,,,,,12,
251097,277-007050,2016,PSH,Affordable Living for the Aging,Parkview on the Park Apartments,628 S. Alvarado Blvd.,Los Angeles,CA,90057.0,62118.0,208903.0,SPA 4,SD 1,CD1,SSD 24,AD 53,C,,,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40,0.0,40.0,0.0,,1.0,,,,,,,,36.0,40,0.9
251181,183-001251,2016,OPH,Alexandria House,Homeless Section 8 Voucher Program (HACLA),510 S Alexandria Ave,Los Angeles,CA,90020.0,62118.0,212102.0,SPA 4,SD 2,CD10,SSD 24,AD 53,C,,,SFHC,,0,0,HMIS,Yes,Yes,0.0,0.0,16,0.0,0.0,0.0,,0.0,0.0,,,16,0.0,16.0,0.0,,1.0,,,,,,,,16.0,16,1.0
250849,183-001250,2016,TH,Alexandria House,Transitional Housing for Single Women & Women with Children,426 S. Alexandria Ave.,Los Angeles,CA,90020.0,62118.0,211910.0,SPA 4,SD 2,CD10,SSD 24,AD 53,C,Single,,SFHC,,0,0,HMIS,Yes,Yes,22.0,8.0,1,0.0,0.0,0.0,,0.0,0.0,,,23,22.0,1.0,0.0,1.0,1.0,,,,,,,,22.0,23,0.96
254750,110-009601,2016,TH,"Alliance for Housing and Healing, The Serra Project and Aid for Aids",Serra Project Casa Madona,1809 Bouett Street,Los Angeles,CA,90026.0,62118.0,206010.0,SPA 4,SD 1,CD1,SSD 24,AD 51,C,Single,,SFHC,HIV,0,0,Non-HMIS,No,No,3.0,1.0,14,0.0,0.0,0.0,,0.0,0.0,,,17,0.0,0.0,0.0,,,,,,,,,,17.0,17,1.0
251338,415-017351,2016,PSH,"AMCAL Multi-Housing, Inc.",Terracina,1126 W Imperial Hwy,Los Angeles,CA,90044.0,62118.0,600304.0,SPA 8,SD 2,NA ,SSD 30,AD 62,N,,,SFHC,,1,0,Non-HMIS,No,No,18.0,7.0,8,0.0,0.0,18.0,0.0,0.0,8.0,0.0,0.0,26,0.0,0.0,0.0,,,,,,,,,,26.0,26,1.0
251182,211-001700,2016,TH,"Asian Pacific Women's Center, Inc.",APWC Transitional Housing Program,,,CA,,,,SPA 4,SD 1,CD14,SSD 24,AD 53,C,Multiple,,SFHC,DV,0,0,Non-HMIS,Yes,Yes,24.0,6.0,0,0.0,0.0,0.0,,0.0,0.0,,,24,0.0,0.0,0.0,,,,,,,,,,24.0,24,1.0
251389,439-018650,2016,PSH,Aszkenazy Development,Harding Apartments,124 Harding Ave,San Fernando,CA,91340.0,69037.0,320201.0,SPA 2,SD 3,NA ,SSD 18,AD 39,N,,,SMF+HC,,0,0,Non-HMIS,No,No,12.0,5.0,7,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,19,0.0,0.0,0.0,,,,,,,,,,19.0,19,1.0
251298,439-018651,2016,PSH,Aszkenazy Development,Park View Place Apartments,133 Park Ave,San Fernando,CA,91340.0,69037.0,320201.0,SPA 2,SD 3,NA ,SSD 18,AD 39,C,,,SMF,,0,0,Non-HMIS,No,No,40.0,20.0,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,,,,,,,,,,40.0,40,1.0
250901,214-001850,2016,ES,Beacon Light Mission and Doors of Hope,Beacon Light Mission ES,525 Broad Ave.,Wilmington,CA,90744.0,62118.0,294701.0,SPA 8,SD 4,CD15,SSD 35,AD 64,C,,Facility-based beds,SMF,,0,1,Non-HMIS,No,No,0.0,0.0,20,0.0,0.0,0.0,,10.0,0.0,,,20,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,19.0,20,0.95
253995,516-020050,2016,ES,Bethel LA Community Development Center,Winter Shelter Program,5500 S. Hoover St. ,Los Angeles,CA,90037.0,62118.0,232700.0,SPA 6,SD 2,CD9,SSD 30,AD 59,N,,Facility-based beds,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,,,,250.0,250.0,2015-11-01,2016-03-31,0.0,0.0,163.0,250,0.65
251217,012-001973,2016,RRH,"Beyond Shelter, Inc.",First 5 LA Rental Assistance RRH Round 2,5101 S. Broadway St.,Los Angeles,CA,90037.0,62118.0,231900.0,SPA 6,SD 2,CD9,SSD 30,AD 59,C,,,HC,,0,0,HMIS,Yes,Yes,49.0,18.0,0,0.0,0.0,0.0,,0.0,0.0,,,49,49.0,0.0,0.0,1.0,,,,,,,,,49.0,49,1.0
253652,012-001975,2016,RRH,"Beyond Shelter, Inc.",South Central Collaborative,7826 S. Broadway,Los Angeles,CA,90003.0,62118.0,239602.0,SPA 6,SD 2,CD9,SSD 30,AD 59,C,,,HC,,0,0,HMIS,Yes,Yes,40.0,11.0,0,0.0,0.0,0.0,,0.0,0.0,,,40,40.0,0.0,0.0,1.0,,,,,,,,,40.0,40,1.0
254753,125-009552,2016,TH,Bridge to Home,Families to Home,"Scattered Sites TBD In Santa Clarita, CA",Santa Clarita,CA,91350.0,63356.0,920115.0,SPA 2,SD 5,NA ,SSD 21,AD 38,N,Single,,SMF,,0,0,HMIS,Yes,Yes,8.0,2.0,0,0.0,0.0,0.0,,0.0,0.0,,,8,8.0,0.0,0.0,1.0,,,,,,,,,8.0,8,1.0
250969,125-009550,2016,ES,Bridge to Home,Winter Shelter Program - Santa Clarita,23031 Drayton St.,Santa Clarita,CA,91350.0,63356.0,920314.0,SPA 2,SD 5,NA ,SSD 21,AD 38,C,,Facility-based beds,SMF,,0,0,HMIS,Yes,Yes,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,,,,60.0,60.0,2015-10-01,2016-03-31,0.0,0.0,55.0,60,0.92
250851,219-002100,2016,TH,"BRIDGES, Inc.",Casitas Esperanza,11927 Eliott Avenue,El Monte,CA,91732.0,61152.0,433901.0,SPA 3,SD 1,NA ,SSD 22,AD 48,C,Single,,SMF,,0,0,Non-HMIS,No,No,0.0,0.0,12,0.0,0.0,0.0,,0.0,0.0,,,12,0.0,0.0,0.0,,,,,,,,,,11.0,12,0.92
250902,219-002102,2016,TH,"BRIDGES, Inc.",Casitas Tranquilas,11927 Elliott Ave ,El Monte,CA,91732.0,61152.0,433901.0,SPA 3,SD 1,NA ,SSD 22,AD 48,C,Single,,SMF,,0,0,Non-HMIS,No,No,0.0,0.0,30,0.0,0.0,0.0,,0.0,0.0,,,30,0.0,0.0,0.0,,,,,,,,,,30.0,30,1.0
274419,501-019302,2016,PSH,Brilliant Corners,DHS Flex Pool TB-PSH Vouchers,527 W. 7th Street,Los Angeles,CA,90014.0,62118.0,207710.0,SPA 4,SD 1,CD14,SSD 30,AD 53,C,,,SMF+HC,,0,0,Non-HMIS,No,No,210.0,105.0,420,,0.0,0.0,0.0,0.0,0.0,0.0,,630,0.0,0.0,,,,,,,,,,,630.0,630,1.0
274426,501-019303,2016,PSH,Brilliant Corners,DHS Flex Pool TB-PSH Vouchers (Under development allocation),527 W. 7th Street,Los Angeles,CA,90014.0,62118.0,207710.0,SPA 4,SD 1,CD14,SSD 30,AD 53,U,,,SMF+HC,,0,0,Non-HMIS,No,No,189.0,94.0,382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571,,,,,,,,,,,,,,571,
