Row #,LAUID,Year,Proj. Type,Organization Name,Project Name,Address,Address 2,City,State,ZIP,Geo Code,Census Tract,SPA,SD,CD,SSD,AD,USCD,Community,Inventory Type,Bed Type,Rental Assistance Type,Target Pop. A,Target Pop. B,LAHSA Funded,In HMIS,Veteran Program,Youth Program,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/ Children,Youth Beds HH w/o Children,CH Beds HH w/ Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Other Federal Funding?,Other Federal Funding: HUD-VASH,Other Federal Funding: SSVF,Other Federal Funding: GPD,Other Federal Funding: HCHV,Other Federal Funding: CWT/TR,Other Federal Funding: BCP,Other Federal Funding: TLP,Other Federal Funding: MGH,Other Federal Funding: HOPWA,Other Federal Funding: PIH,Housing Type,McKinney- Vento,Year-Round Beds,HMIS Beds HH w/ Children,HMIS Beds HH w/o Children,HMIS Beds HH w/ only Children,% of HMIS Beds HH with Children,% of HMIS Beds HH without Children,% of HMIS Beds HH w/ only Children,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow Beds,HMIS Overflow Beds,PIT Count,Total Beds,Bed Utilization Rate,Unit Utilization Rate
282941,244-004150,2017,ES,Domestic Violence Center of the Santa Clarita Valley,Shelter Resident Services,Confidential,,Newhall,CA,91321,,,SPA 2,SD 5,NA ,SSD 27,AD 38,USCD 25,,C,Facility-based beds,Not Applicable,SMF+HC,DV,No,No,No,No,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,9,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,4.0,9,0.44,0.3333333333333333
283092,249-004451,2017,ES,Emmanuel Baptist Mission of Los Angeles,Short-Term Lodging,530 E 5th St,,Los Angeles,CA,90013,62118.0,206300.0,SPA 4,SD 2,CD14,SSD 30,AD 53,USCD 34,Skid Row,C,Facility-based beds,Not Applicable,SM,,No,No,No,No,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,33,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,33.0,33,1.0,1.0
282993,407-017052,2017,ES,Family Promise of East San Fernando Valley,Family Promise of San Gabriel Valley,1005 E. Las Tunas Drive ,#525,San Gabriel,CA,91776,69037.0,480102.0,SPA 3,SD 5,NA ,SSD 22,AD 49,USCD 27,East San Gabriel,C,Facility-based beds,Not Applicable,HC,,No,No,No,No,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Scattered,No,15,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,13.0,15,0.87,0.42857142857142855
283348,517-020100,2017,ES,"Fathers and Mothers Who Care, Inc.",Emergency Shelter,10975 S. Vermont Ave. ,,Los Angeles,CA,90044,62118.0,600304.0,SPA 8,SD 2,NA ,SSD 30,AD 62,USCD 43,Westmont / West Athens,C,Facility-based beds,Not Applicable,SMF,,No,No,Yes,Yes,0.0,0.0,15.0,0.0,0.0,3.0,0.0,3.0,,,,No,,,,,,,,,,,Single,No,15,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,15.0,15,1.0,1.0
308695,419-017601,2017,ES,First Presbyterian Church of Hollywood,Hollywood Winter Refuge,1760 N. Gower St.,,Hollywood,CA,90028,62118.0,191000.0,SPA 4,SD 3,CD13,SSD 26,AD 50,USCD 28,Hollywood,C,Other beds,Not Applicable,SMF,HIV,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,0,0.0,0.0,0.0,,,,35.0,0.0,2017-01-08,2017-03-05,0.0,0.0,26.0,35,0.74,0.7428571428571429
282971,326-005100,2017,ES,Gospel Missions of America,Gospel Missions of America,1803 Nausika Ave.,,Rowland Heights,CA,91748,69037.0,408705.0,SPA 3,SD 4,NA ,SSD 29,AD 55,USCD 39,Rowland Heights,C,Facility-based beds,Not Applicable,SMF,,No,No,No,No,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,10,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,8.0,10,0.8,0.8
282893,260-005350,2017,ES,"Haven Hills, Inc.",Crisis Shelter (Haven Hills),P.O. Box 260 ,,Canoga Park,CA,91303,,,SPA 2,SD 3,CD3,SSD 27,AD 45,USCD 30,,C,Facility-based beds,Not Applicable,SMF+HC,DV,No,No,No,No,32.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,36,,,,,,,0.0,0.0,,,0.0,0.0,15.0,36,0.42,0.6
283204,427-017850,2017,ES,Hope of the Valley Rescue Mission,The Genesis House,10264 RINCON AVE,,Pacoima,CA,91331,62118.0,104500.0,SPA 2,SD 3,CD7,SSD 18,AD 39,USCD 29,Pacoima,C,Facility-based beds,Not Applicable,HC,,No,No,No,No,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,30,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,21.0,30,0.7,0.8888888888888888
283068,022-005951,2017,ES,House of Ruth (Claremont),Emergency Shelter for Battered Women,P.O. Box 459,,Claremont,CA,91711,,,SPA 3,SD 1,NA ,SSD 25,AD 41,USCD 27,,C,Facility-based beds,Not Applicable,SFHC,DV,No,No,No,No,52.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,55,,0.0,,,,,0.0,0.0,,,0.0,0.0,30.0,55,0.55,0.6111111111111112
282943,268-006050,2017,ES,Inland Valley Council of Churches,Our House Shelter,1753 N. Park Ave.,,Pomona,CA,91768,62850.0,402200.0,SPA 3,SD 1,NA ,SSD 20,AD 52,USCD 35,Pomona,C,Facility-based beds,Not Applicable,SMF+HC,,No,Yes,No,No,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,13,12.0,1.0,0.0,1.0,1.0,,0.0,0.0,,,0.0,0.0,8.0,13,0.62,0.5714285714285714
283263,062-006157,2017,ES,"Jenesse Center, Inc.",Fannie Lou Hamer Emergency Shelter,P.O. Box 8476,,Los Angeles,CA,90008,,,SPA 6,SD 2,CD10,SSD 30,AD 54,USCD 37,,C,Facility-based beds,Not Applicable,SMF+HC,DV,No,No,No,No,24.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,26,,,,,,,0.0,0.0,,,0.0,0.0,17.0,26,0.65,1.0
283136,024-006353,2017,ES,"JWCH Institute, Inc.",HOPWA - Emergency Shelter,566 S. San Pedro St.,,Los Angeles,CA,90013,62118.0,206300.0,SPA 4,SD 2,CD14,SSD 30,AD 53,USCD 34,Skid Row,C,Facility-based beds,Not Applicable,SMF,HIV,No,No,No,No,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,,,Yes,No,No,No,No,No,No,No,No,Yes,No,Single,No,30,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,28.0,30,0.93,0.9333333333333333
283137,024-006358,2017,ES,"JWCH Institute, Inc.",Recuperative Care - Bell Shelter,5600 Rickenbacker Rd.,,Bell,CA,90201,69037.0,532304.0,SPA 7,SD 1,NA ,SSD 32,AD 58,USCD 40,Commerce,C,Facility-based beds,Not Applicable,SMF,,No,No,Yes,No,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,Single,No,30,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,24.0,30,0.8,0.8
296688,028-006402,2017,ES,"Lamp, Inc.",Harm Reduction Program,222 South Hill St.,,Los Angeles,CA,90012,62118.0,207301.0,SPA 4,SD 1,CD14,SSD 30,AD 53,USCD 34,Skid Row,C,Facility-based beds,Not Applicable,SMF,,No,Yes,No,No,,,30.0,,,0.0,,0.0,,,,No,,,,,,,,,,,Single,No,30,,30.0,,,1.0,,,,,,,,30.0,30,1.0,1.0
283268,028-006408,2017,ES,"Lamp, Inc.",Village Shelter AB109,"527 Crocker St,",,Los Angeles,CA,90013,62118.0,206300.0,SPA 4,SD 2,CD14,SSD 30,AD 53,USCD 34,Skid Row,C,Facility-based beds,Not Applicable,SMF,,No,No,No,No,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Single,No,98,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,88.0,98,0.9,0.8979591836734694
283243,396-016451a,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 04 El Monte,3350 Aerojet Ave,,El Monte,CA,91731,61152.0,433101.0,SPA 3,SD 1,NA ,SSD 22,AD 49,USCD 32,El Monte,C,Voucher beds,Not Applicable,HC,,No,No,No,No,142.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Multiple,No,142,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,142.0,142,1.0,1.0
307349,396-016451b,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 05 Belvedere,5445 Whittier Blvd.,,Los Angeles,CA,90022,62118.0,531701.0,SPA 7,SD 1,NA ,SSD 24,AD 51,USCD 40,East Los Angeles,C,Voucher beds,Not Applicable,HC,,No,No,No,No,106.0,37.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,106,0.0,,,,,,,,,,,,106.0,106,1.0,1.0
307350,396-016451c,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 06 Cudahy,8130 S. Atlantic Ave.,,Cudahy,CA,90201,69037.0,534301.0,SPA 7,SD 1,NA ,SSD 33,AD 63,USCD 40,Cudahy,C,Voucher beds,Not Applicable,HC,,No,No,No,No,140.0,49.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,140,0.0,,,,,,,,,,,,140.0,140,1.0,1.0
307351,396-016451d,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 11 East Valley,14545 Lanark St.,,Panorama City,CA,91402,62118.0,120020.0,SPA 2,SD 3,CD6,SSD 18,AD 46,USCD 29,Panorama City,C,Voucher beds,Not Applicable,HC,,No,No,No,No,154.0,54.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,154,0.0,,,,,,,,,,,,154.0,154,1.0,1.0
307352,396-016451e,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 12 Expo Park,3833 S. Vermont Ave.,,Los Angeles,CA,90037,62118.0,231220.0,SPA 6,SD 2,CD9,SSD 30,AD 59,USCD 37,Adams,C,Voucher beds,Not Applicable,HC,,No,No,No,No,186.0,65.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,186,0.0,,,,,,,,,,,,186.0,186,1.0,1.0
307354,396-016451f,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 13 Metro Family,2615 S. Grand Ave.,,Los Angeles,CA,90007,62118.0,224600.0,SPA 6,SD 1,CD9,SSD 30,AD 59,USCD 37,South Central,C,Voucher beds,Not Applicable,HC,,No,No,No,No,200.0,70.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,200,0.0,,,,,,,,,,,,200.0,200,1.0,1.0
307355,396-016451g,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 15 Metro East,2855 E. Olympic Blvd.,,Los Angeles,CA,90023,62118.0,205120.0,SPA 4,SD 1,CD14,SSD 24,AD 53,USCD 34,Boyle Heights,C,Voucher beds,Not Applicable,HC,,No,No,No,No,72.0,25.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,72,0.0,,,,,,,,,,,,72.0,72,1.0,1.0
307357,396-016451h,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 17 Florence,1740 E. Gage Ave.,,Los Angeles,CA,90001,62118.0,532700.0,SPA 7,SD 2,NA ,SSD 33,AD 59,USCD 40,Florence-Graham,C,Voucher beds,Not Applicable,HC,,No,No,No,No,60.0,21.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,60,0.0,,,,,,,,,,,,60.0,60,1.0,1.0
307359,396-016451i,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 20 San Gabriel,3352 Aerojet Ave.,,El Monte,CA,91731,61152.0,433101.0,SPA 3,SD 1,NA ,SSD 22,AD 49,USCD 32,El Monte,C,Voucher beds,Not Applicable,HC,,No,No,No,No,100.0,35.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,100,0.0,,,,,,,,,,,,100.0,100,1.0,1.0
307361,396-016451j,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 26 Compton,211 E. Alondra Blvd.,,Compton,CA,90220,60804.0,542502.0,SPA 6,SD 2,NA ,SSD 35,AD 64,USCD 44,Compton,C,Voucher beds,Not Applicable,HC,,No,No,No,No,160.0,56.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,160,0.0,,,,,,,,,,,,160.0,160,1.0,1.0
307362,396-016451k,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 27 So. Central,10728 S. Central Ave.,,Los Angeles,CA,90059,62118.0,242000.0,SPA 6,SD 2,CD15,SSD 35,AD 64,USCD 44,Watts,C,Voucher beds,Not Applicable,HC,,No,No,No,No,232.0,81.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,232,0.0,,,,,,,,,,,,232.0,232,1.0,1.0
307363,396-016451l,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 31 South Family,17600 Santa Fe Ave.,,Compton,CA,90221,60804.0,543305.0,SPA 8,SD 2,NA ,SSD 35,AD 64,USCD 44,Unincorporated Compton,C,Voucher beds,Not Applicable,HC,,No,No,No,No,257.0,90.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,257,0.0,,,,,,,,,,,,257.0,257,1.0,1.0
307365,396-016451m,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 34 Lancaster,349-B East Ave. K-6,,Lancaster,CA,93535,61914.0,900300.0,SPA 1,SD 5,NA ,SSD 21,AD 36,USCD 25,Unincorporated Antelope Valley,C,Voucher beds,Not Applicable,HC,,No,No,No,No,392.0,137.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,392,0.0,,,,,,,,,,,,392.0,392,1.0,1.0
307367,396-016451n,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 36 Pomona,2040 W. Holt Ave.,,Pomona,CA,91768,62850.0,402402.0,SPA 3,SD 1,NA ,SSD 20,AD 52,USCD 35,Pomona,C,Voucher beds,Not Applicable,HC,,No,No,No,No,112.0,39.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,112,0.0,,,,,,,,,,,,112.0,112,1.0,1.0
307368,396-016451o,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 38 Metro North,2601 Wilshire Blvd.,,Los Angeles,CA,90057,62118.0,208720.0,SPA 4,SD 2,CD1,SSD 24,AD 53,USCD 34,Westlake,C,Voucher beds,Not Applicable,HC,,No,No,No,No,186.0,65.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,186,0.0,,,,,,,,,,,,186.0,186,1.0,1.0
307369,396-016451p,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 40 Norwalk,12727 Norwalk Blvd.,,Norwalk,CA,90650,62490.0,552200.0,SPA 7,SD 4,NA ,SSD 32,AD 57,USCD 38,Norwalk,C,Voucher beds,Not Applicable,HC,,No,No,No,No,152.0,53.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,152,0.0,,,,,,,,,,,,152.0,152,1.0,1.0
307370,396-016451q,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 51 Santa Clarita,27233 Camp Plenty Rd.,,Canyon Country,CA,91351,63356.0,920036.0,SPA 2,SD 5,NA ,SSD 21,AD 38,USCD 25,Santa Clarita,C,Voucher beds,Not Applicable,HC,,No,No,No,No,89.0,31.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,89,0.0,,,,,,,,,,,,89.0,89,1.0,1.0
307371,396-016451r,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 60 Rancho Park,11110 W. Pico Blvd.,,Los Angeles,CA,90064,62118.0,267800.0,SPA 5,SD 3,CD5,SSD 30,AD 54,USCD 37,Westside,C,Voucher beds,Not Applicable,HC,,No,No,No,No,169.0,59.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,169,0.0,,,,,,,,,,,,169.0,169,1.0,1.0
307372,396-016451s,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 62 Paramount,2961 E. Victoria St.,,Rancho Dominguez,CA,90221,69037.0,543305.0,SPA 8,SD 2,NA ,SSD 35,AD 64,USCD 44,Unincorporated Compton,C,Voucher beds,Not Applicable,HC,,No,No,No,No,106.0,37.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,106,0.0,,,,,,,,,,,,106.0,106,1.0,1.0
307374,396-016451t,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 66 Lincoln Heights,4077 N. Mission Rd.,,Los Angeles,CA,90032,62118.0,199110.0,SPA 4,SD 1,CD14,SSD 24,AD 51,USCD 34,El Sereno,C,Voucher beds,Not Applicable,HC,,No,No,No,No,69.0,24.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,69,0.0,,,,,,,,,,,,69.0,69,1.0,1.0
307375,396-016451u,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 82 West Valley,21415-21615 Plummer St.,,Chatsworth,CA,91311,62118.0,113237.0,SPA 2,SD 5,CD12,SSD 27,AD 45,USCD 30,Chatsworth,C,Voucher beds,Not Applicable,HC,,No,No,No,No,180.0,63.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,180,0.0,,,,,,,,,,,,180.0,180,1.0,1.0
307376,396-016451v,2017,ES,Los Angeles County Department of Public Social Services (DPSS),Cal Works Homeless Assistance Program* - 83 SW Family,8300 S. Vermont Ave.,,Los Angeles,CA,90044,62118.0,238320.0,SPA 6,SD 2,CD8,SSD 30,AD 59,USCD 43,South Vermont,C,Voucher beds,Not Applicable,HC,,No,No,No,No,458.0,160.0,,,0.0,,0.0,,,,,No,,,,,,,,,,,Multiple,No,458,0.0,,,,,,,,,,,,458.0,458,1.0,1.0
282978,396-016450a,2017,ES,Los Angeles County Department of Public Social Services (DPSS),GR Homeless Assistance Program (SPA 2),7843 Lankershim Blvd.,,Los Angeles,CA,91605,69037.0,121802.0,SPA 2,SD 3,CD6,SSD 18,AD 39,USCD 29,North Hollywood,C,Voucher beds,Not Applicable,SMF,,No,No,No,No,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,,,,,,,Multiple,No,6,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,6.0,6,1.0,1.0
307340,396-016450b,2017,ES,Los Angeles County Department of Public Social Services (DPSS),GR Homeless Assistance Program (SPA 3),11652 E. Garvey Ave.,,El Monte,CA,91732,61152.0,433403.0,SPA 3,SD 1,NA ,SSD 22,AD 48,USCD 32,El Monte,C,Voucher beds,Not Applicable,SMF,,No,No,No,No,,,8.0,,,0.0,,0.0,,,,No,,,,,,,,,,,Multiple,No,8,,,,,,,,,,,,,8.0,8,1.0,1.0
307342,396-016450c,2017,ES,Los Angeles County Department of Public Social Services (DPSS),GR Homeless Assistance Program (SPA 4),566 S. San Pedro St.,,Los Angeles,CA,90013,62118.0,206300.0,SPA 4,SD 2,CD14,SSD 30,AD 53,USCD 34,Skid Row,C,Voucher beds,Not Applicable,SMF,,No,No,No,No,,,54.0,,,0.0,,0.0,,,,No,,,,,,,,,,,Multiple,No,54,,0.0,,,,,,,,,,,54.0,54,1.0,1.0
307344,396-016450d,2017,ES,Los Angeles County Department of Public Social Services (DPSS),GR Homeless Assistance Program (SPA 5),8686 Venice Blvd.,,Los Angeles,CA,90034,62118.0,270200.0,SPA 5,SD 2,CD10,SSD 30,AD 54,USCD 37,Palms,C,Voucher beds,Not Applicable,SMF,,No,No,No,No,,,4.0,,,0.0,,0.0,,,,No,,,,,,,,,,,Multiple,No,4,,0.0,,,,,,,,,,,4.0,4,1.0,1.0
307345,396-016450e,2017,ES,Los Angeles County Department of Public Social Services (DPSS),GR Homeless Assistance Program (SPA 6),9714 S. Figueroa Street,,Los Angeles,CA,90003,62118.0,240401.0,SPA 6,SD 2,CD8,SSD 30,AD 64,USCD 43,South Vermont,C,Voucher beds,Not Applicable,SMF,,No,No,No,No,,,25.0,,,0.0,,0.0,,,,No,,,,,,,,,,,Multiple,No,25,,0.0,,,,,,,,,,,25.0,25,1.0,1.0
