user_id,signup_date,signup_cohort,activity_date,event_type,session_duration_sec,plan_type
C00010,2025-02-19,W08,2025-04-19,page_view,113.6,free
C00010,2025-02-19,W08,2025-04-17,feature_use,26.6,free
C00011,2025-02-12,W07,2025-02-17,feature_use,136.7,pro
C00011,2025-02-12,W07,2025-04-30,feature_use,213.2,pro
C00011,2025-02-12,W07,2025-05-03,page_view,799.2,pro
C00012,2025-02-12,W07,2025-02-16,page_view,44.7,free
C00012,2025-02-12,W07,2025-02-18,page_view,24.0,free
C00012,2025-02-12,W07,2025-02-19,page_view,72.1,free
C00012,2025-02-12,W07,2025-02-28,feature_use,223.4,free
C00012,2025-02-12,W07,2025-03-02,page_view,57.9,basic
C00013,2025-02-19,W08,2025-02-21,page_view,157.1,free
C00013,2025-02-19,W08,2025-03-17,feature_use,759.3,pro
C00013,2025-02-19,W08,2025-03-25,settings_change,18.8,free
C00014,2025-02-19,W08,2025-02-19,feature_use,43.2,free
C00014,2025-02-19,W08,2025-03-02,page_view,144.9,free
C00014,2025-02-19,W08,2025-02-27,page_view,25.8,basic
C00014,2025-02-19,W08,2025-02-27,search,691.9,pro
C00014,2025-02-19,W08,2025-02-27,page_view,35.4,free
C00014,2025-02-19,W08,2025-03-02,feature_use,434.6,basic
C00014,2025-02-19,W08,2025-03-01,page_view,141.2,pro
C00015,2025-01-22,W04,2025-01-28,page_view,49.5,pro
C00015,2025-01-22,W04,2025-01-28,feature_use,203.1,basic
C00015,2025-01-22,W04,2025-01-26,page_view,2747.9,free
C00015,2025-01-22,W04,2025-02-18,feature_use,38.8,free
C00015,2025-01-22,W04,2025-03-01,page_view,222.1,free
C00016,2025-01-01,W01,2025-01-04,page_view,19.5,free
C00016,2025-01-01,W01,2025-01-03,page_view,152.8,basic
C00016,2025-01-01,W01,2025-01-07,page_view,144.0,free
C00017,2025-03-05,W10,2025-03-11,page_view,210.8,basic
C00017,2025-03-05,W10,2025-03-10,page_view,89.0,free
C00017,2025-03-05,W10,2025-03-08,search,503.2,free
C00017,2025-03-05,W10,2025-04-19,page_view,155.7,basic
C00017,2025-03-05,W10,2025-04-17,feature_use,174.9,free
C00018,2025-03-19,W12,2025-03-25,feature_use,63.3,free
C00018,2025-03-19,W12,2025-03-19,settings_change,225.0,basic
C00018,2025-03-19,W12,2025-03-26,feature_use,116.5,basic
C00018,2025-03-19,W12,2025-03-28,page_view,224.4,free
C00018,2025-03-19,W12,2025-03-29,page_view,33.1,pro
C00018,2025-03-19,W12,2025-04-29,page_view,461.8,basic
C00018,2025-03-19,W12,2025-04-24,search,382.9,free
C00018,2025-03-19,W12,2025-06-09,settings_change,29.2,basic
C00019,2025-01-22,W04,2025-01-25,page_view,1799.6,free
C00020,2025-03-12,W11,2025-03-15,page_view,59.1,free
C00020,2025-03-12,W11,2025-03-16,page_view,204.5,free
C00020,2025-03-12,W11,2025-04-13,page_view,132.3,basic
C00020,2025-03-12,W11,2025-04-14,page_view,78.1,pro
C00020,2025-03-12,W11,2025-04-27,page_view,44.7,free
C00020,2025-03-12,W11,2025-05-04,search,75.4,free
C00021,2025-01-08,W02,2025-01-14,page_view,189.1,free
C00022,2025-02-05,W06,2025-02-05,search,126.4,free
C00022,2025-02-05,W06,2025-02-05,page_view,99.2,basic
C00023,2025-02-19,W08,2025-02-22,settings_change,125.1,pro
C00024,2025-03-05,W10,2025-03-10,search,464.8,free
C00024,2025-03-05,W10,2025-03-14,feature_use,154.9,free
C00024,2025-03-05,W10,2025-03-18,feature_use,45.0,basic
C00024,2025-03-05,W10,2025-03-22,feature_use,47.6,pro
C00024,2025-03-05,W10,2025-05-03,page_view,49.2,pro
C00024,2025-03-05,W10,2025-05-03,page_view,131.2,free
C00024,2025-03-05,W10,2025-05-16,page_view,294.3,basic
C00025,2025-03-05,W10,2025-03-08,page_view,114.7,pro
C00025,2025-03-05,W10,2025-03-08,page_view,119.4,free
C00025,2025-03-05,W10,2025-03-05,search,259.9,pro
C00025,2025-03-05,W10,2025-04-14,search,269.4,basic
C00025,2025-03-05,W10,2025-04-18,search,253.5,basic
C00026,2025-01-15,W03,2025-01-18,page_view,207.3,pro
C00027,2025-02-05,W06,2025-02-10,page_view,42.9,free
C00028,2025-03-19,W12,2025-03-22,feature_use,75.7,free
C00028,2025-03-19,W12,2025-04-07,page_view,108.0,free
C00028,2025-03-19,W12,2025-04-12,feature_use,292.2,basic
C00028,2025-03-19,W12,2025-05-04,feature_use,208.3,free
C00028,2025-03-19,W12,2025-04-30,page_view,162.9,free
C00028,2025-03-19,W12,2025-05-05,search,237.1,free
C00029,2025-03-19,W12,2025-03-25,page_view,405.0,basic
C00029,2025-03-19,W12,2025-04-05,page_view,295.7,free
C00030,2025-02-26,W09,2025-03-03,page_view,60.9,free
C00030,2025-02-26,W09,2025-03-16,feature_use,1021.2,pro
C00030,2025-02-26,W09,2025-03-14,page_view,43.0,basic
C00030,2025-02-26,W09,2025-03-19,search,101.6,free
C00030,2025-02-26,W09,2025-03-24,search,176.6,free
C00030,2025-02-26,W09,2025-03-22,page_view,336.7,pro
C00030,2025-02-26,W09,2025-04-06,page_view,74.6,basic
C00031,2025-01-22,W04,2025-01-24,search,80.0,pro
C00031,2025-01-22,W04,2025-01-27,page_view,201.1,free
C00032,2025-02-05,W06,2025-02-06,page_view,792.1,free
C00032,2025-02-05,W06,2025-02-07,page_view,48.6,free
C00032,2025-02-05,W06,2025-02-07,page_view,116.4,basic
C00032,2025-02-05,W06,2025-03-08,feature_use,43.7,free
C00032,2025-02-05,W06,2025-03-09,feature_use,41.3,pro
C00033,2025-01-08,W02,2025-01-11,page_view,24.3,basic
C00034,2025-03-12,W11,2025-03-18,page_view,257.6,free
C00034,2025-03-12,W11,2025-03-15,settings_change,181.3,pro
C00034,2025-03-12,W11,2025-03-18,feature_use,119.9,basic
C00034,2025-03-12,W11,2025-03-14,feature_use,648.6,basic
C00034,2025-03-12,W11,2025-03-21,page_view,122.3,free
C00034,2025-03-12,W11,2025-04-03,settings_change,304.9,basic
C00034,2025-03-12,W11,2025-04-06,feature_use,73.2,free
C00034,2025-03-12,W11,2025-04-28,feature_use,165.0,free
C00034,2025-03-12,W11,2025-05-18,page_view,460.7,basic
C00035,2025-02-05,W06,2025-02-05,feature_use,648.8,free
C00035,2025-02-05,W06,2025-02-11,search,22.5,free
C00035,2025-02-05,W06,2025-02-19,feature_use,649.1,free
C00035,2025-02-05,W06,2025-02-25,page_view,151.4,free
C00035,2025-02-05,W06,2025-03-09,page_view,48.0,free
C00036,2025-01-01,W01,2025-01-03,page_view,226.6,pro
C00037,2025-03-19,W12,2025-03-25,settings_change,93.5,free
C00037,2025-03-19,W12,2025-03-28,page_view,170.4,basic
C00037,2025-03-19,W12,2025-03-30,page_view,112.0,free
C00037,2025-03-19,W12,2025-04-11,page_view,855.2,pro
C00037,2025-03-19,W12,2025-04-23,search,231.6,basic
C00037,2025-03-19,W12,2025-04-28,page_view,422.6,pro
C00037,2025-03-19,W12,2025-04-28,page_view,416.8,free
C00038,2025-02-12,W07,2025-02-15,page_view,115.5,pro
C00038,2025-02-12,W07,2025-02-17,page_view,139.8,basic
C00039,2025-01-15,W03,2025-01-16,feature_use,548.2,free
C00039,2025-01-15,W03,2025-01-19,page_view,188.5,free
C00039,2025-01-15,W03,2025-01-17,feature_use,127.4,free
C00039,2025-01-15,W03,2025-01-20,feature_use,326.3,free
C00039,2025-01-15,W03,2025-02-05,settings_change,94.5,pro
C00039,2025-01-15,W03,2025-03-03,page_view,166.8,basic
C00040,2025-03-19,W12,2025-03-22,feature_use,177.9,free
C00041,2025-01-15,W03,2025-01-20,page_view,346.2,basic
C00041,2025-01-15,W03,2025-01-18,search,161.6,free
C00041,2025-01-15,W03,2025-01-15,page_view,53.2,free
C00041,2025-01-15,W03,2025-03-31,page_view,80.6,free
C00041,2025-01-15,W03,2025-03-30,search,244.6,free
C00041,2025-01-15,W03,2025-03-28,feature_use,89.4,free
C00041,2025-01-15,W03,2025-03-31,page_view,108.8,basic
C00041,2025-01-15,W03,2025-03-30,page_view,994.2,pro
C00042,2025-03-05,W10,2025-03-11,page_view,372.7,free
C00042,2025-03-05,W10,2025-03-07,page_view,155.2,free
C00042,2025-03-05,W10,2025-03-13,page_view,84.1,free
C00042,2025-03-05,W10,2025-03-13,page_view,20.6,free
C00042,2025-03-05,W10,2025-03-16,page_view,31.6,basic
C00042,2025-03-05,W10,2025-03-14,settings_change,404.2,free
C00042,2025-03-05,W10,2025-03-18,feature_use,269.4,pro
C00042,2025-03-05,W10,2025-03-29,page_view,303.0,basic
C00042,2025-03-05,W10,2025-04-05,search,97.6,basic
C00042,2025-03-05,W10,2025-05-21,page_view,209.3,free
C00042,2025-03-05,W10,2025-05-25,page_view,105.7,free
C00042,2025-03-05,W10,2025-05-27,feature_use,441.2,pro
C00043,2025-02-05,W06,2025-02-08,page_view,744.7,basic
C00043,2025-02-05,W06,2025-02-09,feature_use,120.3,basic
C00043,2025-02-05,W06,2025-03-02,page_view,361.1,basic
C00043,2025-02-05,W06,2025-03-03,page_view,122.6,free
C00043,2025-02-05,W06,2025-04-18,page_view,30.0,basic
C00044,2025-01-29,W05,2025-01-31,search,123.0,free
C00044,2025-01-29,W05,2025-03-21,feature_use,84.9,free
C00044,2025-01-29,W05,2025-03-23,feature_use,84.9,basic
C00045,2025-01-01,W01,2025-01-06,page_view,46.2,pro
C00045,2025-01-01,W01,2025-01-21,page_view,179.2,free
C00045,2025-01-01,W01,2025-01-21,page_view,94.5,free
C00045,2025-01-01,W01,2025-01-26,feature_use,64.0,free
C00045,2025-01-01,W01,2025-02-04,search,51.1,basic
C00045,2025-01-01,W01,2025-01-31,feature_use,217.9,free
C00046,2025-01-01,W01,2025-01-03,feature_use,981.9,pro
C00047,2025-01-08,W02,2025-01-09,feature_use,268.6,free
C00047,2025-01-08,W02,2025-01-12,feature_use,81.5,free
C00047,2025-01-08,W02,2025-01-13,page_view,160.0,basic
C00047,2025-01-08,W02,2025-01-08,page_view,30.8,basic
C00047,2025-01-08,W02,2025-01-12,page_view,116.0,free
C00048,2025-01-15,W03,2025-01-18,page_view,69.1,free
C00048,2025-01-15,W03,2025-03-02,feature_use,180.6,free
C00048,2025-01-15,W03,2025-03-11,page_view,14.4,pro
C00048,2025-01-15,W03,2025-03-10,settings_change,430.9,basic
C00048,2025-01-15,W03,2025-03-08,page_view,120.5,pro
C00048,2025-01-15,W03,2025-03-25,search,149.8,basic
C00049,2025-01-22,W04,2025-01-23,page_view,447.5,free
C00049,2025-01-22,W04,2025-01-26,feature_use,195.2,pro
C00049,2025-01-22,W04,2025-01-27,page_view,47.1,basic
C00049,2025-01-22,W04,2025-01-22,page_view,39.9,basic
C00049,2025-01-22,W04,2025-04-14,search,278.3,free
C00050,2025-03-05,W10,2025-03-10,page_view,35.3,pro
C00050,2025-03-05,W10,2025-03-31,feature_use,135.5,free
C00050,2025-03-05,W10,2025-04-06,feature_use,78.5,basic
C00050,2025-03-05,W10,2025-04-04,page_view,329.7,free
C00050,2025-03-05,W10,2025-05-06,feature_use,45.8,free
C00050,2025-03-05,W10,2025-05-05,settings_change,75.7,free
C00050,2025-03-05,W10,2025-05-04,page_view,934.1,free
C00051,2025-02-05,W06,2025-02-06,feature_use,70.9,free
C00051,2025-02-05,W06,2025-02-07,search,96.4,free
C00051,2025-02-05,W06,2025-03-10,page_view,47.4,free
C00051,2025-02-05,W06,2025-03-16,search,92.3,basic
C00052,2025-03-05,W10,2025-03-09,page_view,157.0,pro
C00053,2025-03-05,W10,2025-03-07,settings_change,77.3,free
C00053,2025-03-05,W10,2025-03-06,page_view,362.5,basic
C00053,2025-03-05,W10,2025-03-14,feature_use,37.9,basic
C00053,2025-03-05,W10,2025-03-18,page_view,187.1,pro
C00053,2025-03-05,W10,2025-03-19,page_view,80.3,free
C00053,2025-03-05,W10,2025-03-23,feature_use,181.6,free
C00053,2025-03-05,W10,2025-03-22,page_view,58.6,basic
C00053,2025-03-05,W10,2025-04-08,page_view,46.0,pro
C00053,2025-03-05,W10,2025-04-21,page_view,32.0,pro
C00054,2025-01-08,W02,2025-01-12,search,525.7,free
C00054,2025-01-08,W02,2025-01-12,feature_use,105.6,basic
C00054,2025-01-08,W02,2025-01-11,page_view,289.6,basic
C00054,2025-01-08,W02,2025-01-11,page_view,200.4,pro
C00054,2025-01-08,W02,2025-01-27,search,288.5,free
C00054,2025-01-08,W02,2025-01-23,page_view,500.0,free
C00055,2025-02-12,W07,2025-02-16,page_view,1274.9,free
C00055,2025-02-12,W07,2025-02-16,feature_use,408.7,free
C00055,2025-02-12,W07,2025-02-25,page_view,29.4,pro
C00055,2025-02-12,W07,2025-02-23,feature_use,70.8,basic
C00055,2025-02-12,W07,2025-02-23,page_view,199.0,free
C00055,2025-02-12,W07,2025-03-06,page_view,1251.2,free
C00055,2025-02-12,W07,2025-03-15,search,348.3,free
C00056,2025-02-19,W08,2025-02-21,feature_use,87.4,basic
C00057,2025-01-22,W04,2025-01-28,page_view,248.2,basic
C00057,2025-01-22,W04,2025-01-26,feature_use,354.1,free
C00058,2025-02-12,W07,2025-02-16,feature_use,447.3,basic
C00058,2025-02-12,W07,2025-02-13,search,129.3,basic
C00058,2025-02-12,W07,2025-02-18,page_view,509.2,free
C00058,2025-02-12,W07,2025-03-14,page_view,146.1,basic
C00058,2025-02-12,W07,2025-03-22,page_view,298.2,basic
C00058,2025-02-12,W07,2025-03-20,search,231.3,pro
C00058,2025-02-12,W07,2025-05-05,page_view,470.7,free
C00058,2025-02-12,W07,2025-05-06,page_view,73.4,basic
C00059,2025-03-05,W10,2025-03-10,search,90.5,pro
C00059,2025-03-05,W10,2025-03-12,feature_use,302.1,pro
C00059,2025-03-05,W10,2025-03-16,page_view,356.7,free
C00059,2025-03-05,W10,2025-03-28,feature_use,45.9,free
C00059,2025-03-05,W10,2025-05-08,page_view,172.1,free
C00059,2025-03-05,W10,2025-05-12,search,31.1,pro
C00060,2025-02-26,W09,2025-02-27,search,96.0,free
C00060,2025-02-26,W09,2025-02-28,page_view,342.7,basic
C00060,2025-02-26,W09,2025-02-26,page_view,179.1,free
C00060,2025-02-26,W09,2025-03-10,page_view,17.4,pro
C00060,2025-02-26,W09,2025-03-09,page_view,492.4,free
C00060,2025-02-26,W09,2025-03-30,page_view,219.7,pro
C00060,2025-02-26,W09,2025-04-12,page_view,143.8,free
C00060,2025-02-26,W09,2025-04-13,feature_use,415.5,free
C00060,2025-02-26,W09,2025-04-15,page_view,171.8,free
C00061,2025-01-01,W01,2025-01-06,feature_use,87.2,basic
C00061,2025-01-01,W01,2025-01-22,page_view,42.6,basic
C00062,2025-02-05,W06,2025-02-07,search,801.5,basic
C00062,2025-02-05,W06,2025-03-30,page_view,69.3,basic
C00062,2025-02-05,W06,2025-04-01,page_view,119.0,free
C00063,2025-03-05,W10,2025-03-09,feature_use,175.9,pro
C00063,2025-03-05,W10,2025-03-05,feature_use,21.7,free
C00063,2025-03-05,W10,2025-03-07,search,101.2,free
C00063,2025-03-05,W10,2025-03-23,page_view,333.3,pro
C00064,2025-02-05,W06,2025-02-05,page_view,610.1,pro
C00064,2025-02-05,W06,2025-02-09,page_view,163.5,free
C00064,2025-02-05,W06,2025-02-11,page_view,125.7,pro
C00064,2025-02-05,W06,2025-02-10,page_view,403.1,pro
C00064,2025-02-05,W06,2025-02-09,page_view,237.4,pro
C00064,2025-02-05,W06,2025-02-12,search,416.3,pro
C00064,2025-02-05,W06,2025-02-25,settings_change,76.8,basic
C00064,2025-02-05,W06,2025-02-20,page_view,80.9,basic
C00064,2025-02-05,W06,2025-02-23,page_view,153.4,free
C00064,2025-02-05,W06,2025-04-11,search,286.8,pro
C00064,2025-02-05,W06,2025-04-10,page_view,566.0,free
C00064,2025-02-05,W06,2025-04-13,page_view,130.9,free
C00064,2025-02-05,W06,2025-04-28,settings_change,17.3,pro
C00064,2025-02-05,W06,2025-04-28,page_view,106.1,free
C00065,2025-01-15,W03,2025-01-15,feature_use,91.8,pro
C00065,2025-01-15,W03,2025-01-17,feature_use,62.0,pro
C00065,2025-01-15,W03,2025-01-15,feature_use,68.7,basic
C00065,2025-01-15,W03,2025-01-20,settings_change,197.1,basic
C00065,2025-01-15,W03,2025-01-17,feature_use,317.2,basic
C00065,2025-01-15,W03,2025-01-19,settings_change,81.1,basic
C00065,2025-01-15,W03,2025-01-26,page_view,114.6,free
C00065,2025-01-15,W03,2025-01-26,search,167.5,basic
C00065,2025-01-15,W03,2025-03-16,feature_use,528.8,free
C00065,2025-01-15,W03,2025-03-14,page_view,518.5,basic
C00065,2025-01-15,W03,2025-03-17,feature_use,1914.9,free
C00065,2025-01-15,W03,2025-03-18,page_view,547.0,free
C00065,2025-01-15,W03,2025-03-14,feature_use,696.9,free
C00065,2025-01-15,W03,2025-03-15,settings_change,113.7,free
C00066,2025-02-12,W07,2025-02-13,page_view,342.3,free
C00066,2025-02-12,W07,2025-02-15,feature_use,339.9,pro
C00066,2025-02-12,W07,2025-02-14,page_view,91.7,basic
C00066,2025-02-12,W07,2025-02-20,page_view,41.3,basic
C00066,2025-02-12,W07,2025-03-03,feature_use,87.8,free
C00066,2025-02-12,W07,2025-03-16,search,64.8,pro
C00066,2025-02-12,W07,2025-04-18,search,106.3,basic
C00066,2025-02-12,W07,2025-04-21,feature_use,188.4,free
C00067,2025-02-26,W09,2025-03-04,search,648.0,basic
C00067,2025-02-26,W09,2025-02-28,page_view,234.7,basic
C00067,2025-02-26,W09,2025-03-11,feature_use,140.3,pro
C00067,2025-02-26,W09,2025-03-09,page_view,186.5,free
C00068,2025-02-05,W06,2025-02-10,page_view,108.8,free
C00069,2025-01-15,W03,2025-01-17,page_view,108.9,pro
C00069,2025-01-15,W03,2025-01-16,page_view,170.7,free
C00069,2025-01-15,W03,2025-01-15,page_view,264.8,basic
C00069,2025-01-15,W03,2025-01-30,page_view,101.0,basic
C00069,2025-01-15,W03,2025-02-03,feature_use,171.2,free
C00069,2025-01-15,W03,2025-03-05,search,243.7,pro
C00070,2025-01-08,W02,2025-01-09,page_view,67.7,free
C00070,2025-01-08,W02,2025-02-20,feature_use,421.1,basic
C00070,2025-01-08,W02,2025-02-24,feature_use,1737.0,pro
C00071,2025-03-19,W12,2025-03-22,page_view,86.1,free
C00072,2025-03-12,W11,2025-03-17,page_view,321.6,free
C00072,2025-03-12,W11,2025-03-30,page_view,231.0,free
C00072,2025-03-12,W11,2025-03-28,search,63.6,pro
C00072,2025-03-12,W11,2025-04-16,feature_use,35.2,pro
C00072,2025-03-12,W11,2025-04-19,page_view,201.0,free
C00072,2025-03-12,W11,2025-04-20,search,68.6,free
C00072,2025-03-12,W11,2025-05-14,page_view,60.1,pro
C00072,2025-03-12,W11,2025-05-22,feature_use,145.7,pro
C00072,2025-03-12,W11,2025-05-30,feature_use,23.9,pro
C00072,2025-03-12,W11,2025-05-30,page_view,45.9,basic
C00073,2025-02-05,W06,2025-02-08,feature_use,71.7,free
C00073,2025-02-05,W06,2025-03-06,feature_use,696.4,pro
C00073,2025-02-05,W06,2025-03-11,page_view,142.0,basic
C00074,2025-01-15,W03,2025-01-18,page_view,187.5,free
C00074,2025-01-15,W03,2025-01-28,search,75.6,pro
C00074,2025-01-15,W03,2025-01-27,page_view,624.2,free
C00074,2025-01-15,W03,2025-02-08,page_view,36.6,pro
C00074,2025-01-15,W03,2025-02-07,page_view,140.9,free
C00074,2025-01-15,W03,2025-02-24,page_view,439.9,basic
C00074,2025-01-15,W03,2025-03-16,search,60.7,basic
C00074,2025-01-15,W03,2025-03-14,page_view,161.3,basic
C00074,2025-01-15,W03,2025-03-12,page_view,273.8,free
C00075,2025-01-01,W01,2025-01-03,search,271.2,free
C00075,2025-01-01,W01,2025-01-01,feature_use,148.3,free
C00075,2025-01-01,W01,2025-01-17,search,76.4,free
C00075,2025-01-01,W01,2025-01-20,page_view,206.0,free
C00075,2025-01-01,W01,2025-01-26,search,18.7,basic
C00075,2025-01-01,W01,2025-01-22,feature_use,153.5,free
C00076,2025-02-26,W09,2025-03-03,page_view,765.7,free
C00077,2025-02-12,W07,2025-02-16,page_view,136.5,basic
C00077,2025-02-12,W07,2025-02-14,feature_use,128.3,free
C00077,2025-02-12,W07,2025-02-16,page_view,104.8,free
C00077,2025-02-12,W07,2025-02-23,search,726.0,free
C00077,2025-02-12,W07,2025-02-19,search,216.7,basic
C00077,2025-02-12,W07,2025-03-29,page_view,259.5,basic
C00078,2025-01-22,W04,2025-01-22,page_view,87.8,free
C00078,2025-01-22,W04,2025-01-23,page_view,48.0,free
C00078,2025-01-22,W04,2025-03-12,search,186.5,free
C00078,2025-01-22,W04,2025-03-17,page_view,166.4,basic
C00079,2025-03-12,W11,2025-03-17,feature_use,1231.2,free
C00079,2025-03-12,W11,2025-03-14,page_view,14.1,free
C00079,2025-03-12,W11,2025-04-17,page_view,141.9,basic
C00079,2025-03-12,W11,2025-04-18,feature_use,80.9,free
C00079,2025-03-12,W11,2025-04-19,search,780.2,free
C00079,2025-03-12,W11,2025-04-21,search,127.5,free
C00080,2025-03-19,W12,2025-03-19,page_view,386.2,free
C00080,2025-03-19,W12,2025-04-19,page_view,41.7,basic
C00080,2025-03-19,W12,2025-04-19,page_view,208.5,basic
C00081,2025-03-12,W11,2025-03-14,page_view,396.3,basic
C00081,2025-03-12,W11,2025-04-09,feature_use,593.9,free
C00081,2025-03-12,W11,2025-04-10,feature_use,173.2,free
C00082,2025-01-08,W02,2025-01-10,feature_use,295.9,pro
C00082,2025-01-08,W02,2025-01-14,settings_change,370.6,basic
C00082,2025-01-08,W02,2025-02-11,page_view,414.1,basic
C00082,2025-01-08,W02,2025-02-24,page_view,139.5,free
C00082,2025-01-08,W02,2025-02-25,feature_use,378.4,free
C00083,2025-01-15,W03,2025-01-16,feature_use,265.1,basic
C00083,2025-01-15,W03,2025-02-18,page_view,392.6,basic
C00084,2025-02-05,W06,2025-02-10,feature_use,134.5,free
C00084,2025-02-05,W06,2025-02-06,page_view,236.1,free
C00084,2025-02-05,W06,2025-02-18,feature_use,213.1,free
C00084,2025-02-05,W06,2025-04-09,settings_change,40.6,free
C00085,2025-02-19,W08,2025-02-22,search,142.0,free
C00085,2025-02-19,W08,2025-02-19,search,58.6,free
C00085,2025-02-19,W08,2025-03-03,feature_use,27.9,free
C00085,2025-02-19,W08,2025-02-28,feature_use,454.5,pro
C00085,2025-02-19,W08,2025-02-28,feature_use,116.4,free
C00085,2025-02-19,W08,2025-02-27,page_view,168.7,free
C00085,2025-02-19,W08,2025-03-08,feature_use,159.9,basic
C00085,2025-02-19,W08,2025-03-07,page_view,152.6,free
C00086,2025-01-15,W03,2025-01-18,feature_use,119.0,pro
C00087,2025-01-08,W02,2025-01-13,page_view,185.8,free
C00087,2025-01-08,W02,2025-01-14,feature_use,123.6,pro
C00087,2025-01-08,W02,2025-01-13,page_view,878.8,basic
C00087,2025-01-08,W02,2025-01-21,feature_use,209.1,basic
C00087,2025-01-08,W02,2025-01-15,page_view,248.4,pro
C00087,2025-01-08,W02,2025-01-31,search,433.6,free
C00087,2025-01-08,W02,2025-01-31,search,16.9,free
C00087,2025-01-08,W02,2025-02-08,feature_use,179.9,free
C00087,2025-01-08,W02,2025-02-11,page_view,304.7,free
C00087,2025-01-08,W02,2025-02-14,search,6101.0,pro
C00087,2025-01-08,W02,2025-02-12,feature_use,460.1,pro
C00087,2025-01-08,W02,2025-03-20,search,99.1,free
C00088,2025-01-29,W05,2025-02-03,feature_use,59.0,basic
C00088,2025-01-29,W05,2025-02-15,feature_use,259.4,free
C00088,2025-01-29,W05,2025-02-27,search,81.7,basic
C00088,2025-01-29,W05,2025-03-02,page_view,374.9,basic
C00089,2025-02-19,W08,2025-02-22,page_view,297.1,free
C00089,2025-02-19,W08,2025-04-02,feature_use,128.8,pro
C00090,2025-02-26,W09,2025-02-28,search,121.0,free
