state_name,state_abbrev,is_octave_state,total_population,population_18_plus,commercial_population,total_bh_providers,providers_per_100k,total_therapy_providers,total_prescribers,octave_accessible_covered_lives,octave_raw_payer_lives,accessible_penetration_pct,has_bcbs_partner,n_octave_payers,treatment_gap_pct,treatment_gap_population,ami_prevalence_pct,competitive_intensity_score,broadband_pct,compact_score,regulatory_ease_score,reimbursement_favorability,telehealth_parity,medicare_90837_rate,provider_pool_score,payer_coverage_score,unmet_demand_score,competitive_advantage_score,regulatory_score,reimbursement_score,expansion_opportunity_score,expansion_tier
Maryland,MD,True,6180253,4821332,4437421,12192,197.3,11870,1042,621238,1553097,10.1,False,3,52.5,513833,20.3,78,94.2,3,9.2,8,Full Parity,152,7.6,42.4,28.4,33.3,97.4,50.0,40.7,Current Octave
Iowa,IA,False,3207004,2481457,2260937,7159,223.2,6980,599,307487,768718,9.6,False,3,55.8,292161,21.1,50,88.2,2,5.0,7,No Parity,135,11.9,39.5,48.8,77.8,42.1,25.0,38.6,Tier 2: Medium Priority
North Carolina,NC,True,10835491,8512992,7173095,18660,172.2,18100,1660,946848,2367121,8.7,False,3,56.2,1014271,21.2,68,90.0,3,7.7,7,Conditional,141,3.4,34.5,51.2,49.2,77.6,25.0,38.6,Current Octave
Louisiana,LA,False,4573749,3510313,2703085,9736,212.9,9480,836,194622,486555,4.3,False,3,62.8,509233,23.1,55,88.8,2,4.8,7,No Parity,138,10.2,9.6,92.0,69.8,39.5,25.0,38.2,Tier 3: Long-term
Utah,UT,False,3417734,2483829,2522287,6904,202.0,6740,564,393476,983691,11.5,False,3,54.1,267406,19.9,69,92.6,3,6.3,7,No Parity,139,8.4,50.3,38.3,47.6,59.2,25.0,38.1,Tier 3: Long-term
Kansas,KS,False,2940547,2253783,2034857,6084,206.9,5920,514,236043,590108,8.0,False,3,57.2,274591,21.3,48,88.4,3,6.2,6,No Parity,133,9.2,30.5,57.4,81.0,57.9,0.0,37.7,Tier 3: Long-term
Mississippi,MS,False,2939690,2264456,1713839,4872,165.7,4680,472,75408,188522,2.6,False,3,64.1,345460,23.8,47,77.4,3,6.1,6,No Parity,130,2.4,0.0,100.0,82.5,56.6,0.0,37.2,Tier 3: Long-term
Wyoming,WY,False,584057,454092,398604,1591,272.4,1555,126,33482,83706,5.8,False,3,59.8,59740,22.0,53,84.2,2,4.9,6,No Parity,133,20.1,18.1,73.5,73.0,40.8,0.0,36.7,Tier 3: Long-term
California,CA,True,38965193,30527864,25872888,67045,172.1,65600,5645,5381560,13453901,13.8,True,6,53.2,3215683,19.8,99,92.8,0,4.9,9,Full Parity,158,3.4,63.3,32.7,0.0,40.8,75.0,36.7,Current Octave
New York,NY,True,19571216,15620467,13484567,37640,192.3,36500,3340,2589036,6472592,13.2,True,4,50.7,1599754,20.2,97,93.2,0,5.0,10,Full Parity,173,6.8,59.9,17.3,3.2,42.1,100.0,36.4,Current Octave
Vermont,VT,False,647464,532638,456462,2422,374.1,2370,192,34690,86727,5.4,False,3,54.9,60237,20.6,54,85.2,2,5.0,7,No Parity,143,37.0,15.8,43.2,71.4,42.1,25.0,35.9,Tier 3: Long-term
Idaho,ID,False,1964726,1498335,1334048,3459,176.1,3350,309,117396,293490,6.0,False,3,60.2,201145,22.3,45,86.8,2,4.9,6,No Parity,134,4.1,19.2,75.9,85.7,40.8,0.0,35.5,Tier 3: Long-term
Alaska,AK,False,733406,559040,500303,1477,201.4,1425,137,32019,80048,4.4,False,3,61.1,78903,23.1,37,86.2,0,1.8,8,No Parity,154,8.3,10.2,81.5,98.4,0.0,50.0,35.4,Tier 3: Long-term
North Dakota,ND,False,783926,604326,562858,1964,250.5,1910,164,54034,135085,6.9,False,3,55.9,69928,20.7,56,84.6,3,6.3,6,No Parity,131,16.5,24.3,49.4,68.3,59.2,0.0,35.0,Tier 3: Long-term
South Dakota,SD,False,919318,700511,651796,2294,249.5,2235,189,62572,156431,6.8,False,3,56.4,82968,21.0,57,85.8,3,6.2,6,No Parity,133,16.3,23.7,52.5,66.7,57.9,0.0,35.0,Tier 3: Long-term
South Carolina,SC,True,5373555,4231317,3498184,11509,214.2,11210,979,363810,909527,6.8,False,3,57.3,523701,21.6,75,86.6,3,6.2,7,No Parity,138,10.4,23.7,58.0,38.1,57.9,25.0,34.6,Current Octave
Illinois,IL,True,12549689,9848062,8571437,23655,188.5,23050,2055,960000,2400002,7.6,False,3,54.1,1097526,20.6,70,93.0,1,6.4,8,Full Parity,150,6.2,28.2,38.3,46.0,60.5,50.0,34.6,Current Octave
Michigan,MI,False,10037261,7926790,6714927,16792,167.3,16250,1542,644632,1611582,6.4,False,3,57.9,1000535,21.8,67,91.4,2,4.8,8,No Parity,147,2.6,21.5,61.7,50.8,39.5,50.0,34.2,Tier 3: Long-term
Massachusetts,MA,True,7001399,5659960,5195038,16460,235.1,15950,1460,623404,1558511,8.9,False,3,49.8,558094,19.8,62,95.2,0,3.7,10,Conditional,168,13.9,35.6,11.7,58.7,25.0,100.0,33.6,Current Octave
Arkansas,AR,False,3067732,2366744,1846774,5372,175.1,5190,522,147741,369354,4.8,False,3,59.8,318445,22.5,67,87.4,3,6.2,6,No Parity,131,3.9,12.4,73.5,50.8,57.9,0.0,32.3,Tier 3: Long-term
Texas,TX,True,30503301,22963044,19735635,47430,155.5,46200,4030,3157701,7894254,10.4,False,3,55.7,2647615,20.7,98,89.6,1,4.8,8,Conditional,146,0.7,44.1,48.1,1.6,39.5,50.0,31.9,Current Octave
Hawaii,HI,False,1435138,1141251,1034734,3171,221.0,3090,261,45528,113820,3.2,False,3,52.7,119685,19.9,61,86.0,0,4.5,9,Full Parity,164,11.6,3.4,29.6,60.3,35.5,75.0,27.9,Tier 3: Long-term
Alabama,AL,False,5108468,3978822,3192792,7741,151.5,7470,751,140482,351207,2.7,False,3,57.7,500479,21.8,74,87.6,3,6.2,7,No Parity,137,0.0,0.6,60.5,39.7,57.9,25.0,27.4,Tier 3: Long-term
