PlayerID,Team,Number,FirstName,LastName,Position,Status,Height_in,Weight_lbs,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,PlayerSeason,LatestNews
20889,ARI,1,Kyler,Murray,QB,Active,61,207.00,1997-08-07T00:00:00,Oklahoma,3,QB,TRUE,OFF,Kyler Murray,23,2nd Season,7-Aug-97,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20889.png,8,LAR,0,K.Murray,75.4,Scrambled,Scrambled,2,2,ARI,ARI,2019,2,2,FALSE,5,10,2,2,Scrambled,,306721,dd5a6b6e-ffae-45a5-b8e6-718a9251f374,13950,13613,879799,90468,,63484,879799,31833,Scrambled,Scrambled,,Scrambled,Kyler Murray,Kyler Murray,Kyler Murray,2,Scrambled,Scrambled,FALSE,,,,1,1,879799,Kyler Murray,8158891,http://cdn.usatsimg.com/api/download/?imageID=15043477,http://cdn.usatsimg.com/api/download/?imageID=15043478,2020-10-09T17:49:26,2020-10-09T17:49:58,,[]
11735,ARI,2,Mike,Nugent,K,Active,61,190.00,1982-03-02T00:00:00,Ohio State,21,K,TRUE,ST,Mike Nugent,38,16th Season,2-Mar-82,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/11735.png,8,LAR,0,M.Nugent,,Scrambled,Scrambled,3,1297,ARI,NYJ,2005,3,61,FALSE,5,10,2,8,Scrambled,,300738,e017e12b-07a7-4a35-b837-2faa9ffe3ce8,3160,4441,160391,3626,7784,6636,160391,7223,Scrambled,Scrambled,,Scrambled,Mike Nugent,Mike Nugent,Mike Nugent,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158896,http://cdn.usatsimg.com/api/download/?imageID=15493690,http://cdn.usatsimg.com/api/download/?imageID=15493691,2021-01-28T09:23:52,2021-01-28T09:24:10,,[]
3100,ARI,4,Andy,Lee,P,Active,73,185.00,1982-08-11T00:00:00,Pittsburgh,22,P,TRUE,ST,Andy Lee,38,17th Season,11-Aug-82,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3100.png,8,LAR,0,A.Lee,,Scrambled,Scrambled,,,ARI,SF,2004,10,244,FALSE,6,1,2,8,Scrambled,,302833,edaad8e3-62cd-4715-b225-0010ee9825a0,2884,4044,,17809,7052,,246395,6947,Scrambled,Scrambled,,Scrambled,,Andy Lee,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158845,http://cdn.usatsimg.com/api/download/?imageID=15043292,http://cdn.usatsimg.com/api/download/?imageID=15043294,2020-10-09T16:55:08,2020-10-09T16:55:36,,[]
19079,ARI,5,Zane,Gonzalez,K,Active,72,202.00,1995-05-07T00:00:00,Arizona State,7,K,TRUE,ST,Zane Gonzalez,25,4th Season,7-May-95,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19079.png,8,LAR,0,Z.Gonzalez,210.7,Scrambled,Scrambled,2,1297,ARI,CLE,2017,12,291,FALSE,6,0,2,8,Scrambled,,304839,cd0f4ef0-9914-4125-be4d-804a72350ceb,12425,11831,732774,73439,,39369,732774,30337,Scrambled,Scrambled,,Scrambled,Zane Gonzalez,Zane Gonzalez,Zane Gonzalez,2,Scrambled,Scrambled,FALSE,,,,1,1,,,8158785,http://cdn.usatsimg.com/api/download/?imageID=15043295,http://cdn.usatsimg.com/api/download/?imageID=15043298,2020-10-09T16:56:20,2020-10-09T16:56:45,,[]
18180,ARI,6,Terrance,Smith,ILB,Practice Squad,75,235.00,1993-05-03T00:00:00,Florida State,7,LB,TRUE,DEF,Terrance Smith,27,4th Season,3-May-93,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18180.png,8,LAR,0,T.Smith,,Scrambled,Scrambled,,,ARI,KC,2016,,,TRUE,6,3,2,,Scrambled,,304191,dc447507-2380-494c-96c9-e0edb2679a3c,,11179,595939,55609,,,,29885,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158943,http://cdn.usatsimg.com/api/download/?imageID=10354236,http://cdn.usatsimg.com/api/download/?imageID=10835829,2017-10-18T19:17:57,2018-05-14T09:17:42,,[]
16907,ARI,7,Brett,Hundley,QB,Active,75,226.00,1993-06-15T00:00:00,UCLA,10,QB,TRUE,OFF,Brett Hundley,27,6th Season,15-Jun-93,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16907.png,8,LAR,0,B.Hundley,671.1,Scrambled,Scrambled,5,2,ARI,GB,2015,8,191,FALSE,6,3,2,2,Scrambled,,303460,e97f5ca9-186e-4346-ae65-1cd757ada455,10402,9706,590420,52231,,29915,590420,28535,Scrambled,Scrambled,,Scrambled,Brett Hundley,Brett Hundley,Brett Hundley,3,Scrambled,Scrambled,FALSE,,,,1,1,590420,Brett Hundley,8158804,http://cdn.usatsimg.com/api/download/?imageID=13412166,http://cdn.usatsimg.com/api/download/?imageID=13421765,2019-09-25T12:58:42,2019-09-27T15:56:44,,[]
14986,ARI,10,DeAndre,Hopkins,WR,Active,73,214.00,1992-06-06T00:00:00,Clemson,10,WR,TRUE,OFF,DeAndre Hopkins,28,8th Season,6-Jun-92,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14986.png,8,LAR,0,D.Hopkins,29.2,Scrambled,Scrambled,2,10,ARI,HOU,2013,2,35,FALSE,6,1,2,2,Scrambled,,301057,5c48ade7-4b9a-4757-9643-87a6e3839e2b,8404,8619,560241,46230,18584,16606,560241,26650,Scrambled,Scrambled,,Scrambled,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,2,Scrambled,Scrambled,FALSE,,,,1,1,560241,DeAndre Hopkins,8158799,http://cdn.usatsimg.com/api/download/?imageID=15465272,http://cdn.usatsimg.com/api/download/?imageID=15465273,2021-01-21T17:49:48,2021-01-21T17:50:07,,[]
5571,ARI,11,Larry,Fitzgerald,WR,Active,75,218.00,1983-08-31T00:00:00,Pittsburgh,22,WR,TRUE,OFF,Larry Fitzgerald,37,17th Season,31-Aug-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5571.png,8,LAR,0,L.Fitzgerald,212.9,Scrambled,Scrambled,2,12,ARI,ARI,2004,2,5,FALSE,6,3,2,2,Scrambled,,301197,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,1661,3730,246053,15373,6477,6883,246053,6762,Scrambled,Scrambled,,Scrambled,Larry Fitzgerald,Larry Fitzgerald,Larry Fitzgerald,5,Scrambled,Scrambled,FALSE,,,,1,1,246053,Larry Fitzgerald,8158736,http://cdn.usatsimg.com/api/download/?imageID=15043299,http://cdn.usatsimg.com/api/download/?imageID=15043300,2020-10-09T16:56:53,2020-10-09T16:57:12,,[]
19314,ARI,12,Isaac,Whitney,WR,Practice Squad,74,204.00,1994-06-22T00:00:00,USC,2,WR,TRUE,OFF,Isaac Whitney,26,1st Season,22-Jun-94,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19314.png,8,LAR,0,I.Whitney,1635.5,Scrambled,Scrambled,,,ARI,LV,2017,,,TRUE,6,2,2,2,Scrambled,,305191,1af02026-aef5-4dcb-baa2-9c9c91d22533,,12106,865837,91501,,60835,865837,30637,Scrambled,Scrambled,,Scrambled,Isaac Whitney,Isaac Whitney,Isaac Whitney,10,Scrambled,Scrambled,FALSE,,,,1,1,865837,Isaac Whitney,8158991,http://cdn.usatsimg.com/api/download/?imageID=10218035,http://cdn.usatsimg.com/api/download/?imageID=10313511,2017-08-14T23:10:30,2017-09-28T20:56:27,,[]
19815,ARI,13,Christian,Kirk,WR,Active,61,200.00,1996-11-18T00:00:00,Texas A&M,5,WR,TRUE,OFF,Christian Kirk,24,3rd Season,18-Nov-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19815.png,8,LAR,0,C.Kirk,149.3,Scrambled,Scrambled,2,8,ARI,ARI,2018,3,61,FALSE,5,10,2,2,Scrambled,,305859,ebcd87ce-218c-4144-810b-921c2f59d6e8,13095,12508,865801,90453,,60858,865801,31017,Scrambled,Scrambled,,Scrambled,Christian Kirk,Christian Kirk,Christian Kirk,3,Scrambled,Scrambled,FALSE,,,,1,1,865801,Christian Kirk,8158837,http://cdn.usatsimg.com/api/download/?imageID=13118251,http://cdn.usatsimg.com/api/download/?imageID=13231953,2019-07-29T15:27:07,2019-08-19T13:11:33,,[]
22358,ARI,14,JoJo,Ward,WR,Practice Squad,69,175.00,1997-12-09T00:00:00,Hawaii,0,WR,TRUE,OFF,JoJo Ward,23,Rookie,9-Dec-97,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22358.png,8,LAR,0,J.Ward,,Scrambled,Scrambled,,,ARI,ARI,2020,,,TRUE,5,9,2,2,Scrambled,,308334,4dcd8f79-23db-4555-a4dc-2eebd409e508,,15111,,135493,,88186,1130645,33087,Scrambled,Scrambled,,Scrambled,JoJo Ward,JoJo Ward,JoJo Ward,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158973,,,,,,[]
21866,ARI,15,Chris,Streveler,QB,Active,73,216.00,1995-01-06T00:00:00,South Dakota,2,QB,TRUE,OFF,Chris Streveler,26,1st Season,6-Jan-95,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21866.png,8,LAR,0,C.Streveler,,Scrambled,Scrambled,3,2,ARI,ARI,2020,,,TRUE,6,1,2,2,Scrambled,,307583,23461354-f2d7-4e36-9046-fe9cde6dd413,,14587,,76296,,38767,728265,32662,Scrambled,Scrambled,,Scrambled,Chris Streveler,Chris Streveler,Chris Streveler,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158947,http://cdn.usatsimg.com/api/download/?imageID=15190211,http://cdn.usatsimg.com/api/download/?imageID=15190212,2020-11-12T11:39:49,2020-11-12T11:40:11,,[]
20081,ARI,16,Trent,Sherfield,WR,Active,73,219.00,1996-02-26T00:00:00,Vanderbilt,5,WR,TRUE,OFF,Trent Sherfield,24,3rd Season,26-Feb-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20081.png,8,LAR,0,T.Sherfield,498.4,Scrambled,Scrambled,3,10,ARI,ARI,2018,,,TRUE,6,1,2,2,Scrambled,,306171,18ccb826-5584-4f6a-8434-cf9a3b927b0f,13513,13061,835861,84225,,56059,835861,31320,Scrambled,Scrambled,,Scrambled,Trent Sherfield,Trent Sherfield,Trent Sherfield,10,Scrambled,Scrambled,FALSE,,,,1,1,835861,Trent Sherfield,8158934,http://cdn.usatsimg.com/api/download/?imageID=12074230,http://cdn.usatsimg.com/api/download/?imageID=12145073,2019-01-29T14:17:15,2019-02-11T12:44:39,,[]
20820,ARI,17,Andy,Isabella,WR,Active,69,188.00,1996-11-18T00:00:00,Massachusetts,3,WR,TRUE,OFF,Andy Isabella,24,2nd Season,18-Nov-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20820.png,8,LAR,0,A.Isabella,376.4,Scrambled,Scrambled,3,12,ARI,ARI,2019,3,80,FALSE,5,9,2,2,Scrambled,,306754,04f9a4be-b236-4eed-9bc4-794f615ccd13,14019,13612,878911,91896,,63419,878911,31894,Scrambled,Scrambled,,Scrambled,Andy Isabella,Andy Isabella,Andy Isabella,7,Scrambled,Scrambled,FALSE,,,,1,1,878911,Andy Isabella,8158811,http://cdn.usatsimg.com/api/download/?imageID=13194884,http://cdn.usatsimg.com/api/download/?imageID=13231962,2019-08-12T10:54:38,2019-08-19T13:11:49,,[]
19403,ARI,18,Krishawn,Hogan,WR,Practice Squad,75,217.00,1995-05-12T00:00:00,Marian (IN),5,WR,TRUE,OFF,Krishawn Hogan,25,3rd Season,12-May-95,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19403.png,8,LAR,0,K.Hogan,1642,Scrambled,Scrambled,,,ARI,ARI,2017,,,TRUE,6,3,2,2,Scrambled,,304704,a2368d42-9e6b-4268-883a-f23ef7ef5638,,11860,1050070,126089,,80030,1050070,30487,Scrambled,Scrambled,,Scrambled,Krishawn Hogan,Krishawn Hogan,Krishawn Hogan,12,Scrambled,Scrambled,FALSE,,,,1,1,1050070,Krishawn Hogan,8158796,http://cdn.usatsimg.com/api/download/?imageID=13196327,http://cdn.usatsimg.com/api/download/?imageID=13231788,2019-08-12T14:47:34,2019-08-19T13:05:50,,[]
20835,ARI,19,KeeSean,Johnson,WR,Active,73,201.00,1996-10-09T00:00:00,Fresno State,3,WR,TRUE,OFF,KeeSean Johnson,24,2nd Season,9-Oct-96,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20835.png,8,LAR,0,K.Johnson,390.7,Scrambled,Scrambled,3,8,ARI,ARI,2019,10,226,FALSE,6,1,2,2,Scrambled,,306891,7e8f4076-25e1-41e5-8e71-f70397a3729d,14195,13628,838443,82602,,57208,838443,32006,Scrambled,Scrambled,,Scrambled,KeeSean Johnson,KeeSean Johnson,KeeSean Johnson,8,Scrambled,Scrambled,FALSE,,,,1,1,838443,KeeSean Johnson,8158814,http://cdn.usatsimg.com/api/download/?imageID=13787734,http://cdn.usatsimg.com/api/download/?imageID=14692745,2019-12-13T09:39:52,2020-08-04T12:50:14,,[]
13871,ARI,20,Dre,Kirkpatrick,CB,Active,74,190.00,1989-10-26T00:00:00,Alabama,12,DB,TRUE,DEF,Dre Kirkpatrick,31,9th Season,26-Oct-89,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13871.png,8,LAR,0,D.Kirkpatrick,871,Scrambled,Scrambled,2,160,ARI,CIN,2012,2,22,FALSE,6,2,2,,Scrambled,,300571,e972d67d-8302-4c64-9c1c-bc3121b90af4,7463,8163,,40798,12250,,,25727,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158838,http://cdn.usatsimg.com/api/download/?imageID=15300797,http://cdn.usatsimg.com/api/download/?imageID=15300798,2020-12-11T12:23:08,2020-12-11T12:23:38,,[]
13415,ARI,21,Patrick,Peterson,CB,Active,73,203.00,1990-07-11T04:00:00,LSU,13,DB,TRUE,DEF,Patrick Peterson,30,10th Season,11-Jul-90,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13415.png,8,LAR,0,P.Peterson,850.2,Scrambled,Scrambled,2,156,ARI,ARI,2011,2,8,FALSE,6,1,2,,Scrambled,,300511,9f3b934e-52d6-4e16-ae92-d3e60be10493,6481,7300,,41048,16778,,465739,24792,Scrambled,Scrambled,,Scrambled,,Patrick Peterson,Patrick Peterson,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158912,http://cdn.usatsimg.com/api/download/?imageID=13118235,http://cdn.usatsimg.com/api/download/?imageID=13231961,2019-07-29T15:26:52,2019-08-19T13:11:47,,[]
20729,ARI,22,Deionte,Thompson,SS,Active,73,195.00,1997-02-11T00:00:00,Alabama,3,DB,TRUE,DEF,Deionte Thompson,24,2nd Season,11-Feb-97,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20729.png,8,LAR,0,D.Thompson,1971.7,Scrambled,Scrambled,3,157,ARI,ARI,2019,8,180,FALSE,6,1,2,,Scrambled,,306823,db3a0416-6758-485d-89e1-806af99e0991,13982,13586,,91175,,,,31971,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158956,http://cdn.usatsimg.com/api/download/?imageID=12612309,http://cdn.usatsimg.com/api/download/?imageID=14692870,2019-04-29T16:10:37,2020-08-04T13:18:48,,[]
15177,ARI,23,Robert,Alford,CB,Active,61,186.00,1988-11-01T00:00:00,Southeastern Louisiana,10,DB,TRUE,DEF,Robert Alford,32,8th Season,1-Nov-88,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15177.png,8,LAR,0,R.Alford,,Scrambled,Scrambled,5,156,ARI,ATL,2013,3,78,FALSE,5,10,2,,Scrambled,,300430,4f5ca039-21f3-4045-9c2e-c0b4d5d564c5,8462,8645,,70422,18329,,,26683,Scrambled,Scrambled,,Scrambled,,Robert Alford,Robert Alford,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158625,http://cdn.usatsimg.com/api/download/?imageID=13412123,http://cdn.usatsimg.com/api/download/?imageID=13421755,2019-09-25T12:58:05,2019-09-27T15:56:29,,[]
4490,ARI,25,Johnathan,Joseph,CB,Active,61,186.00,1984-04-16T00:00:00,South Carolina,19,DB,TRUE,DEF,Johnathan Joseph,36,15th Season,16-Apr-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4490.png,8,LAR,0,J.Joseph,776.2,Scrambled,Scrambled,5,160,ARI,CIN,2006,2,31,FALSE,5,11,2,,Scrambled,,300337,06dab231-dbbd-4ccb-8233-3c2d70318ee3,3693,4768,,20914,8864,,,7773,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,FALSE,,,,1,1,,,8158832,http://cdn.usatsimg.com/api/download/?imageID=14995146,http://cdn.usatsimg.com/api/download/?imageID=14894746,2020-09-28T11:03:56,2020-09-08T20:11:29,,[]
