dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,crm_cd_2,location,cross_street,lat,lon
100100561,2010-01-26T00:00:00.000,2010-01-26T00:00:00.000,1820,01,Central,0119,1,210,ROBBERY,0346 0400,37,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
100100562,2010-01-28T00:00:00.000,2010-01-28T00:00:00.000,2345,01,Central,0152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,500 S  GRAND                        AV,,34.0502,-118.2540
100100571,2010-01-31T00:00:00.000,2010-01-31T00:00:00.000,1000,01,Central,0192,2,624,BATTERY - SIMPLE ASSAULT,0400,36,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,1400 S  HOPE                         ST,,34.0382,-118.2665
100100572,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,1700,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,61,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100100573,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,2200,01,Central,0153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,200 W  6TH                          ST,,34.0460,-118.2509
100100574,2010-02-01T00:00:00.000,2010-01-31T00:00:00.000,1930,01,Central,0145,2,624,BATTERY - SIMPLE ASSAULT,0416,40,M,W,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,5TH,LOS ANGELES,34.0461,-118.2476
100100580,2010-02-02T00:00:00.000,2010-02-01T00:00:00.000,1355,01,Central,0158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0521,48,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,,6TH,CERES,34.0394,-118.2405
100100581,2010-02-05T00:00:00.000,2010-02-05T00:00:00.000,1425,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0400 0417,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,SAN JULIAN                   ST,5TH                          ST,34.0446,-118.2450
100100586,2010-02-06T00:00:00.000,2010-02-06T00:00:00.000,0110,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0416,36,F,H,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,800 W  OLYMPIC                      BL,,34.0450,-118.2640
100100587,2010-02-05T00:00:00.000,2010-02-05T00:00:00.000,2030,01,Central,0174,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,45,F,B,503,HOTEL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,700 S  MAIN                         ST,,34.0439,-118.2514
100100608,2010-02-11T00:00:00.000,2010-02-10T00:00:00.000,1900,01,Central,0152,1,220,ATTEMPTED ROBBERY,0416,27,M,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220,,6TH                          ST,FLOWER,34.0502,-118.2574
100100622,2010-02-13T00:00:00.000,2010-02-13T00:00:00.000,0055,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0416,24,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,800 W  OLYMPIC                      BL,,34.0450,-118.2640
100100628,2010-02-15T00:00:00.000,2010-02-14T00:00:00.000,1500,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408,40,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,,500    STANFORD                     AV,,34.0426,-118.2412
100100630,2010-02-15T00:00:00.000,2010-02-15T00:00:00.000,0100,01,Central,0123,1,210,ROBBERY,0400,22,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,1ST                          ST,HILL                         ST,34.0544,-118.2466
100100632,2010-02-16T00:00:00.000,2010-02-16T00:00:00.000,1540,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,22,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,500 E  4TH                          ST,,34.0449,-118.2415
100100634,2010-02-20T00:00:00.000,2010-02-19T00:00:00.000,2040,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400,44,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,700 S  HOPE                         ST,,34.0480,-118.2577
100100635,2010-02-20T00:00:00.000,2010-02-19T00:00:00.000,2030,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400,50,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,700 S  HOPE                         ST,,34.0480,-118.2577
100100639,2010-02-20T00:00:00.000,2010-02-20T00:00:00.000,0230,01,Central,0164,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,600 S  MAIN                         ST,,34.0453,-118.2499
100100651,2010-02-26T00:00:00.000,2010-02-25T00:00:00.000,2330,01,Central,0176,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0429,23,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,600 E  8TH                          ST,,34.0394,-118.2496
100100655,2010-02-28T00:00:00.000,2010-02-28T00:00:00.000,0015,01,Central,0133,2,624,BATTERY - SIMPLE ASSAULT,0416,20,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,300 W  2ND                          ST,,34.0524,-118.2467
100100657,2010-03-01T00:00:00.000,2010-02-28T00:00:00.000,2200,01,Central,0192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,1300 S  GRAND                        AV,,34.0389,-118.2643
100114820,2010-08-01T00:00:00.000,2010-08-01T00:00:00.000,0250,01,Central,0192,1,210,ROBBERY,0344 0355 0400,33,M,H,101,STREET,113,SIMULATED GUN,IC,Invest Cont,210,,GRAND,PICO,34.0384,-118.2646
100100672,2010-03-06T00:00:00.000,2010-03-06T00:00:00.000,0420,01,Central,0142,1,121,"RAPE, FORCIBLE",0413 0500 0536 0526,28,F,H,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,400 S  FIGUEROA                     ST,,34.0535,-118.2560
100100691,2010-03-11T00:00:00.000,2010-03-11T00:00:00.000,2110,01,Central,0165,2,624,BATTERY - SIMPLE ASSAULT,0416 1402,40,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,600 S  LOS ANGELES                  ST,,34.0446,-118.2490
100100693,2010-03-12T00:00:00.000,2010-03-11T00:00:00.000,0815,01,Central,0123,2,624,BATTERY - SIMPLE ASSAULT,0416 0417,52,F,H,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,1ST,SPRING,34.0530,-118.2444
100100694,2010-03-12T00:00:00.000,2010-03-12T00:00:00.000,0930,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 0417 1402,62,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,600    WALL                         ST,,34.0435,-118.2471
100100706,2010-03-13T00:00:00.000,2010-03-13T00:00:00.000,1615,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0400 2000,39,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,7TH                          ST,BROADWAY,34.0452,-118.2534
100100708,2010-03-14T00:00:00.000,2010-03-14T00:00:00.000,0800,01,Central,0166,1,220,ATTEMPTED ROBBERY,0337 0400 0411 0432 0906,50,M,B,102,SIDEWALK,204,FOLDING KNIFE,IC,Invest Cont,220,,SAN PEDRO                    ST,7TH                          ST,34.0407,-118.2468
100100711,2010-03-14T00:00:00.000,2010-03-12T00:00:00.000,1700,01,Central,0152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432,54,M,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511,VERBAL THREAT,IC,Invest Cont,930,,600 W  5TH                          ST,,34.0502,-118.2540
100100713,2010-03-14T00:00:00.000,2010-03-14T00:00:00.000,2000,01,Central,0156,1,761,BRANDISH WEAPON,0334,76,M,H,710,OTHER PREMISE,207,OTHER KNIFE,IC,Invest Cont,761,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100100714,2010-03-15T00:00:00.000,2010-03-14T00:00:00.000,2050,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0416,16,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,600 W  9TH                          ST,,34.0451,-118.2604
100100715,2010-03-15T00:00:00.000,2010-03-15T00:00:00.000,0001,01,Central,0176,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,21,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,700 S  SAN PEDRO                    ST,,34.0407,-118.2468
100100719,2010-03-16T00:00:00.000,2010-03-16T00:00:00.000,1650,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,57,F,B,503,HOTEL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,5TH                          ST,SAN JULIAN,34.0446,-118.2450
100100724,2010-03-18T00:00:00.000,2010-03-18T00:00:00.000,0015,01,Central,0145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,34,M,W,210,RESTAURANT/FAST FOOD,512,MACE/PEPPER SPRAY,AA,Adult Arrest,230,,400 S  MAIN                         ST,,34.0482,-118.2472
100100725,2010-03-18T00:00:00.000,2010-03-18T00:00:00.000,0015,01,Central,0145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,27,F,W,210,RESTAURANT/FAST FOOD,512,MACE/PEPPER SPRAY,AA,Adult Arrest,230,,400 S  MAIN                         ST,,34.0482,-118.2472
100100726,2010-03-19T00:00:00.000,2010-03-19T00:00:00.000,1000,13,Newton,1307,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0917 1804,32,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,800 E  8TH                          ST,,34.0371,-118.2475
100100728,2010-03-19T00:00:00.000,2010-03-19T00:00:00.000,1140,01,Central,0147,1,210,ROBBERY,0305 0344 0416,33,M,W,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,5TH,WALL,34.0446,-118.2450
100100734,2010-03-21T00:00:00.000,2010-03-21T00:00:00.000,1315,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0416 0419 1202,65,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,700 S  BROADWAY,,34.0452,-118.2534
100100738,2010-03-22T00:00:00.000,2010-03-19T00:00:00.000,1730,01,Central,0195,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552,5,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627,,1800 S  MAIN                         ST,,34.0317,-118.2641
100100740,2010-03-25T00:00:00.000,2010-03-22T00:00:00.000,1915,01,Central,0142,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,49,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,4TH                          ST,GRAND                        AV,34.0516,-118.2526
100100751,2010-03-24T00:00:00.000,2010-03-24T00:00:00.000,2015,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,58,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,5TH,WALL,34.0446,-118.2450
100100756,2010-03-27T00:00:00.000,2010-03-27T00:00:00.000,0530,01,Central,0171,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,32,F,O,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,900 W  OLYMPIC                      BL,,34.0454,-118.2657
100100757,2010-03-27T00:00:00.000,2010-03-27T00:00:00.000,1140,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0400,56,M,O,201,JEWELRY STORE,512,MACE/PEPPER SPRAY,IC,Invest Cont,624,,600 S  HILL                         ST,,34.0474,-118.2531
100100759,2010-03-28T00:00:00.000,2010-03-28T00:00:00.000,0055,01,Central,0148,1,251,SHOTS FIRED AT INHABITED DWELLING,0906 1100 1402,18,F,B,213,WAREHOUSE,102,HAND GUN,IC,Invest Cont,251,998,500 E  4TH                          ST,,34.0449,-118.2415
100100765,2010-03-31T00:00:00.000,2010-03-31T00:00:00.000,1515,01,Central,0111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0329 0421,59,M,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AA,Adult Arrest,930,,700    ALPINE                       ST,,34.0635,-118.2426
100100777,2010-04-06T00:00:00.000,2010-04-05T00:00:00.000,1940,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,24,M,H,710,OTHER PREMISE,308,STICK,AA,Adult Arrest,230,,500 S  SAN PEDRO,,34.0442,-118.2439
100100788,2010-04-08T00:00:00.000,2010-04-08T00:00:00.000,0920,01,Central,0153,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,41,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,,200 W  6TH                          ST,,34.0460,-118.2509
100100792,2010-04-10T00:00:00.000,2010-04-10T00:00:00.000,1710,01,Central,0135,1,210,ROBBERY,0302,61,M,O,406,OTHER STORE,102,HAND GUN,IC,Invest Cont,210,,100 E  3RD                          ST,,34.0496,-118.2458
100100797,2010-04-14T00:00:00.000,2010-04-11T00:00:00.000,0200,01,Central,0133,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429,30,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,300 W  2ND                          ST,,34.0524,-118.2467
100100801,2010-04-14T00:00:00.000,2010-04-13T00:00:00.000,1730,01,Central,0139,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,27,M,W,729,SPECIALTY SCHOOL/OTHER,511,VERBAL THREAT,IC,Invest Cont,930,,900 E  3RD                          ST,,34.0459,-118.2351
100100809,2010-04-16T00:00:00.000,2010-04-15T00:00:00.000,2120,01,Central,0105,2,920,KIDNAPPING - GRAND ATTEMPT,,18,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,920,,COTTAGE HOME,BROADWAY,34.0673,-118.2354
100100811,2010-04-16T00:00:00.000,2010-04-16T00:00:00.000,0510,01,Central,0154,1,110,CRIMINAL HOMICIDE,1100,41,M,B,102,SIDEWALK,106,UNKNOWN FIREARM,AA,Adult Arrest,110,,500 S  LOS ANGELES                  ST,,34.0461,-118.2476
100100813,2010-04-16T00:00:00.000,2010-04-16T00:00:00.000,1800,01,Central,0111,1,220,ATTEMPTED ROBBERY,0337 0355 0416 0417,18,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,COLLEGE,YALE,34.0649,-118.2399
100100814,2010-04-16T00:00:00.000,2010-04-16T00:00:00.000,1815,01,Central,0111,1,220,ATTEMPTED ROBBERY,0337 0400,56,F,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,800 N  SPRING                       ST,,34.0619,-118.2369
100100816,2010-04-16T00:00:00.000,2010-04-16T00:00:00.000,1830,01,Central,0155,1,210,ROBBERY,0344 0416,39,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,6TH,MAPLE,34.0435,-118.2471
100100822,2010-04-16T00:00:00.000,2010-04-15T00:00:00.000,1400,01,Central,0158,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0417 0429 2000,36,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,7TH,CENTRAL                      AV,34.0364,-118.2406
100100827,2010-04-17T00:00:00.000,2010-04-17T00:00:00.000,1845,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 1402,41,M,B,710,OTHER PREMISE,207,OTHER KNIFE,AO,Adult Other,230,998,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100100828,2010-04-17T00:00:00.000,2010-04-17T00:00:00.000,1900,01,Central,0111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0421 0432 1402,20,M,O,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,930,998,CESAR E CHAVEZ               BL,SPRING                       ST,34.0582,-118.2387
100100830,2010-04-17T00:00:00.000,2010-04-17T00:00:00.000,2100,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0417,42,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,6TH,CERES                        AV,34.0394,-118.2405
100100834,2010-04-17T00:00:00.000,2010-04-17T00:00:00.000,1900,01,Central,0111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0432 1402,22,M,H,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,930,998,CESAR E CHAVEZ               BL,SPRING                       ST,34.0582,-118.2387
100100835,2010-04-17T00:00:00.000,2010-04-17T00:00:00.000,2100,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0417,48,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,6TH,CERES                        AV,34.0394,-118.2405
100100837,2010-04-21T00:00:00.000,2010-04-20T00:00:00.000,1800,01,Central,0156,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,34,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,500    WALL                         ST,,34.0449,-118.2458
100100838,2010-04-21T00:00:00.000,2010-04-20T00:00:00.000,1750,01,Central,0156,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,38,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,500    WALL                         ST,,34.0449,-118.2458
100100839,2010-04-21T00:00:00.000,2010-04-21T00:00:00.000,1230,01,Central,0159,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 1300,31,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,7TH                          ST,MATEO                        ST,34.0346,-118.2323
100100842,2010-04-24T00:00:00.000,2010-04-24T00:00:00.000,0100,01,Central,0152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0417 0429,26,M,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,800    WILSHIRE                     BL,,34.0494,-118.2581
100100844,2010-04-24T00:00:00.000,2010-04-23T00:00:00.000,0130,01,Central,0111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0417,22,M,H,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,400    GIN LING                     WY,,34.0656,-118.2374
100100848,2010-04-25T00:00:00.000,2010-04-24T00:00:00.000,2015,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,28,F,B,710,OTHER PREMISE,207,OTHER KNIFE,IC,Invest Cont,230,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100100849,2010-04-24T00:00:00.000,2010-04-24T00:00:00.000,2025,01,Central,0164,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000,29,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,600 S  SPRING                       ST,,34.0460,-118.2509
100100850,2010-04-24T00:00:00.000,2010-04-24T00:00:00.000,2015,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,33,M,O,710,OTHER PREMISE,207,OTHER KNIFE,IC,Invest Cont,230,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100100855,2010-04-26T00:00:00.000,2010-04-26T00:00:00.000,0130,01,Central,0153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,23,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,600 S  SPRING                       ST,,34.0460,-118.2509
100100856,2010-04-27T00:00:00.000,2010-04-26T00:00:00.000,0800,01,Central,0195,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0907 1402 2000,28,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,998,HILL                         ST,WASHINGTON                   BL,34.0320,-118.2657
100100859,2010-04-30T00:00:00.000,2010-04-29T00:00:00.000,2315,01,Central,0166,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,37,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,500 S  SAN JULIAN                   ST,,34.0420,-118.2468
